        2000           5
      0    0    1    0    1
      2.   2.   6.   2.   5.
    -0.1048844212714067E+03 -0.1060748118907394E+02 -0.8072227782934210E+01 -0.1072912178350412E+01 -0.5064001011970383E+00
     0.5698321485094588E+00  0.3416563289808098E+01  0.4676078224660209E+01  0.8321845516498831E+01  0.1021399880402478E+02
  0.3429465354048252E-05  0.4680544500937991E-03  0.1312004577844068E-03  0.1810894692044981E-08  0.3969227030066995E-04  0.4875014092362792E-09
  0.3461380866382279E-05  0.4724100323839044E-03  0.1324213721242959E-03  0.1844756357626252E-08  0.4006163533801748E-04  0.4966171296380300E-09
  0.3493593392921841E-05  0.4768061440830108E-03  0.1336536472727365E-03  0.1879251192993396E-08  0.4043443737773038E-04  0.5059033023384373E-09
  0.3526105697759752E-05  0.4812431622789116E-03  0.1348973889312997E-03  0.1914391037476931E-08  0.4081070839786261E-04  0.5153631145412277E-09
  0.3558920570712205E-05  0.4857214675670028E-03  0.1361527037847734E-03  0.1950187951781426E-08  0.4119048067392225E-04  0.5249998130450693E-09
  0.3592040827558161E-05  0.4902414440828955E-03  0.1374196995103037E-03  0.1986654222124694E-08  0.4157378678163704E-04  0.5348167053578603E-09
  0.3625469310280966E-05  0.4948034795353295E-03  0.1386984847866217E-03  0.2023802364454365E-08  0.4196065959974560E-04  0.5448171608318514E-09
  0.3659208887312214E-05  0.4994079652393935E-03  0.1399891693033548E-03  0.2061645128743306E-08  0.4235113231281459E-04  0.5550046118199936E-09
  0.3693262453777884E-05  0.5040552961500529E-03  0.1412918637704251E-03  0.2100195503365344E-08  0.4274523841408198E-04  0.5653825548539026E-09
  0.3727632931746761E-05  0.5087458708959911E-03  0.1426066799275356E-03  0.2139466719552807E-08  0.4314301170832678E-04  0.5759545518438503E-09
  0.3762323270481180E-05  0.5134800918137627E-03  0.1439337305537433E-03  0.2179472255937407E-08  0.4354448631476542E-04  0.5867242313011921E-09
  0.3797336446690089E-05  0.5182583649822650E-03  0.1452731294771223E-03  0.2220225843176017E-08  0.4394969666997503E-04  0.5976952895836478E-09
  0.3832675464784477E-05  0.5230811002575300E-03  0.1466249915845164E-03  0.2261741468662948E-08  0.4435867753084383E-04  0.6088714921638682E-09
  0.3868343357135177E-05  0.5279487113078383E-03  0.1479894328313815E-03  0.2304033381330316E-08  0.4477146397754892E-04  0.6202566749217182E-09
  0.3904343184333070E-05  0.5328616156491610E-03  0.1493665702517204E-03  0.2347116096538172E-08  0.4518809141656184E-04  0.6318547454607209E-09
  0.3940678035451704E-05  0.5378202346809287E-03  0.1507565219681097E-03  0.2391004401056056E-08  0.4560859558368188E-04  0.6436696844491172E-09
  0.3977351028312362E-05  0.5428249937221342E-03  0.1521594072018190E-03  0.2435713358137691E-08  0.4603301254709768E-04  0.6557055469859966E-09
  0.4014365309751600E-05  0.5478763220477692E-03  0.1535753462830253E-03  0.2481258312690560E-08  0.4646137871047717E-04  0.6679664639929713E-09
  0.4051724055891265E-05  0.5529746529256005E-03  0.1550044606611210E-03  0.2527654896542136E-08  0.4689373081608630E-04  0.6804566436318709E-09
  0.4089430472411037E-05  0.5581204236532874E-03  0.1564468729151187E-03  0.2574919033804565E-08  0.4733010594793662E-04  0.6931803727489410E-09
  0.4127487794823498E-05  0.5633140755958429E-03  0.1579027067641520E-03  0.2623066946339668E-08  0.4777054153496222E-04  0.7061420183460455E-09
  0.4165899288751767E-05  0.5685560542234439E-03  0.1593720870780738E-03  0.2672115159326101E-08  0.4821507535422596E-04  0.7193460290793757E-09
  0.4204668250209716E-05  0.5738468091495921E-03  0.1608551398881534E-03  0.2722080506930622E-08  0.4866374553415586E-04  0.7327969367861779E-09
  0.4243798005884796E-05  0.5791867941696290E-03  0.1623519923978725E-03  0.2772980138085372E-08  0.4911659055781100E-04  0.7464993580400287E-09
  0.4283291913423490E-05  0.5845764672996084E-03  0.1638627729938219E-03  0.2824831522373184E-08  0.4957364926617822E-04  0.7604579957351859E-09
  0.4323153361719428E-05  0.5900162908155304E-03  0.1653876112566988E-03  0.2877652456022926E-08  0.5003496086149920E-04  0.7746776407005629E-09
  0.4363385771204181E-05  0.5955067312929396E-03  0.1669266379724064E-03  0.2931461068016931E-08  0.5050056491062840E-04  0.7891631733438790E-09
  0.4403992594140764E-05  0.6010482596468900E-03  0.1684799851432574E-03  0.2986275826312620E-08  0.5097050134842240E-04  0.8039195653265491E-09
  0.4444977314919863E-05  0.6066413511722824E-03  0.1700477859992799E-03  0.3042115544180442E-08  0.5144481048116039E-04  0.8189518812698875E-09
  0.4486343450358827E-05  0.6122864855845753E-03  0.1716301750096297E-03  0.3098999386660320E-08  0.5192353298999668E-04  0.8342652804932120E-09
  0.4528094550003437E-05  0.6179841470608733E-03  0.1732272878941076E-03  0.3156946877138797E-08  0.5240670993444515E-04  0.8498650187844456E-09
  0.4570234196432488E-05  0.6237348242813987E-03  0.1748392616347847E-03  0.3215977904049165E-08  0.5289438275589606E-04  0.8657564502038202E-09
  0.4612766005565201E-05  0.6295390104713468E-03  0.1764662344877340E-03  0.3276112727696851E-08  0.5338659328116550E-04  0.8819450289213042E-09
  0.4655693626971498E-05  0.6353972034431291E-03  0.1781083459948725E-03  0.3337371987212420E-08  0.5388338372607783E-04  0.8984363110883836E-09
  0.4699020744185165E-05  0.6413099056390111E-03  0.1797657369959126E-03  0.3399776707634572E-08  0.5438479669908131E-04  0.9152359567448377E-09
  0.4742751075019928E-05  0.6472776241741426E-03  0.1814385496404239E-03  0.3463348307125562E-08  0.5489087520489733E-04  0.9323497317611645E-09
  0.4786888371888473E-05  0.6533008708799911E-03  0.1831269274000081E-03  0.3528108604321525E-08  0.5540166264820360E-04  0.9497835098173237E-09
  0.4831436422124430E-05  0.6593801623481740E-03  0.1848310150805856E-03  0.3594079825820222E-08  0.5591720283735128E-04  0.9675432744184725E-09
  0.4876399048307359E-05  0.6655160199747027E-03  0.1865509588347977E-03  0.3661284613808787E-08  0.5643753998811696E-04  0.9856351209483904E-09
  0.4921780108590758E-05  0.6717089700046329E-03  0.1882869061745223E-03  0.3729746033834070E-08  0.5696271872748913E-04  0.1004065258761294E-08
  0.4967583497033120E-05  0.6779595435771319E-03  0.1900390059835068E-03  0.3799487582718265E-08  0.5749278409749005E-04  0.1022840013312761E-08
  0.5013813143932079E-05  0.6842682767709632E-03  0.1918074085301183E-03  0.3870533196622532E-08  0.5802778155903291E-04  0.1041965828330494E-08
  0.5060473016161662E-05  0.6906357106503939E-03  0.1935922654802110E-03  0.3942907259261370E-08  0.5856775699581494E-04  0.1061449268025669E-08
  0.5107567117512669E-05  0.6970623913115272E-03  0.1953937299101146E-03  0.4016634610270572E-08  0.5911275671824653E-04  0.1081297019345631E-08
  0.5155099489036242E-05  0.7035488699290661E-03  0.1972119563197424E-03  0.4091740553731626E-08  0.5966282746741682E-04  0.1101515894268700E-08
