        2000           4
      0    0    1    0
      2.   2.   6.   1.
    -0.4047850101136146E+02 -0.2797026387625161E+01 -0.1518140222623180E+01 -0.1821026560017068E+00
     0.5000850675460171E+00  0.3298491152636222E+01  0.4738142841944089E+01  0.7792412650983321E+01
  0.5449436078355980E-05  0.3830200877931209E-03  0.9352561156904925E-04  0.1153578325081228E-08  0.1405822312982245E-04
  0.5500149972918862E-05  0.3865843584552382E-03  0.9439593300612503E-04  0.1175148915226634E-08  0.1418904475986917E-04
  0.5551335824408067E-05  0.3901817951310962E-03  0.9527435290019675E-04  0.1197122847533088E-08  0.1432108370262336E-04
  0.5602998024979675E-05  0.3938127063969973E-03  0.9616094659923716E-04  0.1219507663890218E-08  0.1445435128395177E-04
  0.5655141007664331E-05  0.3974774036995269E-03  0.9705579015208295E-04  0.1242311047207133E-08  0.1458885893507088E-04
  0.5707769246747639E-05  0.4011762013822382E-03  0.9795896031495063E-04  0.1265540824049170E-08  0.1472461819352640E-04
  0.5760887258154086E-05  0.4049094167125863E-03  0.9887053455801319E-04  0.1289204967323915E-08  0.1486164070418180E-04
  0.5814499599834551E-05  0.4086773699091104E-03  0.9979059107203757E-04  0.1313311599017470E-08  0.1499993822021602E-04
  0.5868610872157410E-05  0.4124803841688704E-03  0.1007192087750840E-03  0.1337868992981859E-08  0.1513952260413045E-04
  0.5923225718303282E-05  0.4163187856951365E-03  0.1016564673192674E-03  0.1362885577774565E-08  0.1528040582876532E-04
  0.5978348824663456E-05  0.4201929037253374E-03  0.1026024470975814E-03  0.1388369939551147E-08  0.1542259997832542E-04
  0.6033984921242018E-05  0.4241030705592674E-03  0.1035572292507866E-03  0.1414330825011945E-08  0.1556611724941545E-04
  0.6090138782061724E-05  0.4280496215875558E-03  0.1045208956743613E-03  0.1440777144403877E-08  0.1571096995208492E-04
  0.6146815225573651E-05  0.4320328953204005E-03  0.1054935290255185E-03  0.1467717974578363E-08  0.1585717051088281E-04
  0.6204019115070654E-05  0.4360532334165674E-03  0.1064752127302864E-03  0.1495162562106417E-08  0.1600473146592191E-04
  0.6261755359104682E-05  0.4401109807126615E-03  0.1074660309906560E-03  0.1523120326451983E-08  0.1615366547395322E-04
  0.6320028911907966E-05  0.4442064852526677E-03  0.1084660687917945E-03  0.1551600863204608E-08  0.1630398530945018E-04
  0.6378844773818133E-05  0.4483400983177665E-03  0.1094754119093251E-03  0.1580613947372545E-08  0.1645570386570300E-04
  0.6438207991707277E-05  0.4525121744564268E-03  0.1104941469166760E-03  0.1610169536737432E-08  0.1660883415592322E-04
  0.6498123659415016E-05  0.4567230715147780E-03  0.1115223611924958E-03  0.1640277775271695E-08  0.1676338931435842E-04
  0.6558596918185594E-05  0.4609731506672641E-03  0.1125601429281389E-03  0.1670948996619836E-08  0.1691938259741739E-04
  0.6619632957109030E-05  0.4652627764475827E-03  0.1136075811352202E-03  0.1702193727644821E-08  0.1707682738480565E-04
  0.6681237013566387E-05  0.4695923167799102E-03  0.1146647656532397E-03  0.1734022692040759E-08  0.1723573718067158E-04
  0.6743414373679189E-05  0.4739621430104187E-03  0.1157317871572780E-03  0.1766446814013141E-08  0.1739612561476315E-04
  0.6806170372762999E-05  0.4783726299390838E-03  0.1168087371657636E-03  0.1799477222027873E-08  0.1755800644359544E-04
  0.6869510395785243E-05  0.4828241558517886E-03  0.1178957080483113E-03  0.1833125252630414E-08  0.1772139355162893E-04
  0.6933439877827278E-05  0.4873171025527257E-03  0.1189927930336350E-03  0.1867402454336311E-08  0.1788630095245877E-04
  0.6997964304550767E-05  0.4918518553971003E-03  0.1201000862175323E-03  0.1902320591594475E-08  0.1805274279001514E-04
  0.7063089212668391E-05  0.4964288033241351E-03  0.1212176825709441E-03  0.1937891648824557E-08  0.1822073333977460E-04
  0.7128820190418947E-05  0.5010483388903850E-03  0.1223456779480892E-03  0.1974127834529810E-08  0.1839028700998290E-04
  0.7195162878046861E-05  0.5057108583033570E-03  0.1234841690946738E-03  0.2011041585486843E-08  0.1856141834288895E-04
  0.7262122968286164E-05  0.5104167614554463E-03  0.1246332536561774E-03  0.2048645571013712E-08  0.1873414201599033E-04
  0.7329706206848980E-05  0.5151664519581835E-03  0.1257930301862162E-03  0.2086952697317802E-08  0.1890847284329040E-04
  0.7397918392918549E-05  0.5199603371768031E-03  0.1269635981549829E-03  0.2125976111925007E-08  0.1908442577656699E-04
