        2000           5
      0    0    1    0    1
      2.   2.   6.   2.   2.
    -0.6881245595471171E+02 -0.6156538233428535E+01 -0.4256053980501542E+01 -0.5398421858367050E+00 -0.2971145301295022E+00
     0.5387129349919597E+00  0.3341691872175067E+01  0.4661331396616657E+01  0.7883336731482134E+01  0.9458211821702449E+01
  0.5105668589540370E-05  0.5185100410367182E-03  0.1379988552237119E-03  0.2220755919038908E-08  0.3534916722180973E-04  0.4744817801480948E-09
  0.5153183292860109E-05  0.5233350845984672E-03  0.1392830164443829E-03  0.2262281383431900E-08  0.3567811219495323E-04  0.4833540186941691E-09
  0.5201140180585666E-05  0.5282050247833504E-03  0.1405791266767978E-03  0.2304583316925795E-08  0.3601011797330010E-04  0.4923921559047698E-09
  0.5249543367802161E-05  0.5331202792895125E-03  0.1418872970892282E-03  0.2347676238224393E-08  0.3634521303321571E-04  0.5015992938139218E-09
  0.5298397007890791E-05  0.5380812697000331E-03  0.1432076398839017E-03  0.2391574937501872E-08  0.3668342611591882E-04  0.5109785924574101E-09
  0.5347705292885214E-05  0.5430884215190363E-03  0.1445402683066118E-03  0.2436294481478578E-08  0.3702478622994356E-04  0.5205332709572587E-09
  0.5397472453831262E-05  0.5481421642081391E-03  0.1458852966564193E-03  0.2481850218591711E-08  0.3736932265362412E-04  0.5302666086264899E-09
  0.5447702761150004E-05  0.5532429312232362E-03  0.1472428402954419E-03  0.2528257784262685E-08  0.3771706493760264E-04  0.5401819460945356E-09
  0.5498400525004174E-05  0.5583911600516268E-03  0.1486130156587352E-03  0.2575533106262970E-08  0.3806804290736021E-04  0.5502826864536917E-09
  0.5549570095668022E-05  0.5635872922494856E-03  0.1499959402642660E-03  0.2623692410180250E-08  0.3842228666577157E-04  0.5605722964270065E-09
  0.5601215863900601E-05  0.5688317734796833E-03  0.1513917327229773E-03  0.2672752224986795E-08  0.3877982659568338E-04  0.5710543075580037E-09
  0.5653342261322534E-05  0.5741250535499562E-03  0.1528005127489475E-03  0.2722729388711918E-08  0.3914069336251643E-04  0.5817323174226502E-09
