        5000           6
      0    0    1    0    1    0
      2.   2.   6.   2.   6.   2.
    -0.1493637258925156E+03 -0.1682274427363942E+02 -0.1362926920660047E+02 -0.2245376006036510E+01 -0.1340706956896836E+01 -0.1955296924620742E+00
     0.5952298885114118E+00  0.3493979371228924E+01  0.4703368227758940E+01  0.8356285256917101E+01  0.1019261879176844E+02  0.1431074394877273E+02
  0.2632414965587546E-05  0.4599219657648587E-03  0.1335022425634284E-03  0.1719669407555500E-08  0.4603794100550504E-04  0.5596629176721163E-09  0.1099227860071258E-04
  0.2643579207222731E-05  0.4618724213532931E-03  0.1340684042480265E-03  0.1734286602710103E-08  0.4623318055903614E-04  0.5644200541614536E-09  0.1103889509831007E-04
  0.2654790797126680E-05  0.4638311480730788E-03  0.1346369668063891E-03  0.1749028043239507E-08  0.4642924804835754E-04  0.5692176260557943E-09  0.1108570927852914E-04
  0.2666049936106455E-05  0.4657981809951671E-03  0.1352079404186139E-03  0.1763894785212156E-08  0.4662614698405252E-04  0.5740559770504683E-09  0.1113272197957646E-04
  0.2677356825820751E-05  0.4677735553391830E-03  0.1357813353079546E-03  0.1778887893672788E-08  0.4682388089158654E-04  0.5789354537621242E-09  0.1117993404321207E-04
  0.2688711668783515E-05  0.4697573064740571E-03  0.1363571617410039E-03  0.1794008442718739E-08  0.4702245331137047E-04  0.5838564057535595E-09  0.1122734631476445E-04
  0.2700114668367565E-05  0.4717494699186574E-03  0.1369354300278770E-03  0.1809257515576881E-08  0.4722186779882381E-04  0.5888191855587602E-09  0.1127495964314562E-04
  0.2711566028808237E-05  0.4737500813424242E-03  0.1375161505223962E-03  0.1824636204681220E-08  0.4742212792443835E-04  0.5938241487081563E-09  0.1132277488086633E-04
  0.2723065955207044E-05  0.4757591765660093E-03  0.1380993336222761E-03  0.1840145611751154E-08  0.4762323727384197E-04  0.5988716537540887E-09  0.1137079288405135E-04
  0.2734614653535346E-05  0.4777767915619161E-03  0.1386849897693092E-03  0.1855786847870391E-08  0.4782519944786284E-04  0.6039620622964950E-09  0.1141901451245473E-04
  0.2746212330638042E-05  0.4798029624551426E-03  0.1392731294495533E-03  0.1871561033566544E-08  0.4802801806259377E-04  0.6090957390088121E-09  0.1146744062947520E-04
  0.2757859194237271E-05  0.4818377255238286E-03  0.1398637631935184E-03  0.1887469298891399E-08  0.4823169674945700E-04  0.6142730516640991E-09  0.1151607210217162E-04
  0.2769555452936138E-05  0.4838811171999039E-03  0.1404569015763558E-03  0.1903512783501864E-08  0.4843623915526902E-04  0.6194943711613841E-09  0.1156490980127848E-04
  0.2781301316222447E-05  0.4859331740697398E-03  0.1410525552180465E-03  0.1919692636741613E-08  0.4864164894230586E-04  0.6247600715522315E-09  0.1161395460122146E-04
  0.2793096994472451E-05  0.4879939328748045E-03  0.1416507347835917E-03  0.1936010017723413E-08  0.4884792978836865E-04  0.6300705300675387E-09  0.1166320738013312E-04
  0.2804942698954624E-05  0.4900634305123188E-03  0.1422514509832035E-03  0.1952466095412160E-08  0.4905508538684929E-04  0.6354261271445580E-09  0.1171266901986857E-04
  0.2816838641833443E-05  0.4921417040359178E-03  0.1428547145724961E-03  0.1969062048708616E-08  0.4926311944679662E-04  0.6408272464541489E-09  0.1176234040602122E-04
  0.2828785036173188E-05  0.4942287906563118E-03  0.1434605363526786E-03  0.1985799066533859E-08  0.4947203569298273E-04  0.6462742749282632E-09  0.1181222242793867E-04
  0.2840782095941759E-05  0.4963247277419535E-03  0.1440689271707478E-03  0.2002678347914455E-08  0.4968183786596952E-04  0.6517676027876614E-09  0.1186231597873861E-04
