        2000           3
      0    0    1
      2.   2.   5.
    -0.2638276022172297E+02 -0.1572534745745581E+01 -0.7300175274431061E+00
     0.4650035124898757E+00  0.3006558517364327E+01  0.4390796570765964E+01
  0.9647626777523929E-05  0.4988121177027492E-03  0.1154467743789276E-03  0.1917790285717783E-08
  0.9737410145957346E-05  0.5034537884861222E-03  0.1165210584628252E-03  0.1953650517667213E-08
  0.9828029062182272E-05  0.5081386482796692E-03  0.1176053383581868E-03  0.1990181282726785E-08
  0.9919491302027613E-05  0.5128670988695205E-03  0.1186997070557603E-03  0.2027395118659523E-08
  0.1001180471368620E-04  0.5176395457782756E-03  0.1198042584110745E-03  0.2065304797656133E-08
  0.1010497721838824E-04  0.5224563982997256E-03  0.1209190871524757E-03  0.2103923330718087E-08
  0.1019901681108097E-04  0.5273180695338983E-03  0.1220442888892386E-03  0.2143263972122672E-08
  0.1029393156111475E-04  0.5322249764224282E-03  0.1231799601197523E-03  0.2183340223971516E-08
  0.1038972961293544E-04  0.5371775397842556E-03  0.1243261982397826E-03  0.2224165840824139E-08
  0.1048641918678328E-04  0.5421761843516554E-03  0.1254831015508110E-03  0.2265754834418147E-08
  0.1058400857939822E-04  0.5472213388066016E-03  0.1266507692684505E-03  0.2308121478477668E-08
  0.1068250616473189E-04  0.5523134358174691E-03  0.1278293015309403E-03  0.2351280313611683E-08
  0.1078192039466611E-04  0.5574529120760748E-03  0.1290187994077186E-03  0.2395246152303942E-08
  0.1088225979973818E-04  0.5626402083350636E-03  0.1302193649080756E-03  0.2440034083996159E-08
  0.1098353298987280E-04  0.5678757694456405E-03  0.1314311009898858E-03  0.2485659480266253E-08
  0.1108574865512094E-04  0.5731600443956540E-03  0.1326541115684227E-03  0.2532138000103396E-08
  0.1118891556640545E-04  0.5784934863480300E-03  0.1338885015252539E-03  0.2579485595281672E-08
  0.1129304257627376E-04  0.5838765526795662E-03  0.1351343767172194E-03  0.2627718515834213E-08
  0.1139813861965740E-04  0.5893097050200823E-03  0.1363918439854936E-03  0.2676853315629669E-08
  0.1150421271463877E-04  0.5947934092919371E-03  0.1376610111647302E-03  0.2726906858052938E-08
  0.1161127396322491E-04  0.6003281357499086E-03  0.1389419870922930E-03  0.2777896321792094E-08
  0.1171933155212857E-04  0.6059143590214477E-03  0.1402348816175716E-03  0.2829839206733509E-08
  0.1182839475355645E-04  0.6115525581473017E-03  0.1415398056113843E-03  0.2882753339967187E-08
  0.1193847292600489E-04  0.6172432166225168E-03  0.1428568709754672E-03  0.2936656881904365E-08
  0.1204957551506285E-04  0.6229868224378207E-03  0.1441861906520519E-03  0.2991568332509494E-08
  0.1216171205422247E-04  0.6287838681213877E-03  0.1455278786335326E-03  0.3047506537648715E-08
  0.1227489216569705E-04  0.6346348507809931E-03  0.1468820499722213E-03  0.3104490695557039E-08
  0.1238912556124680E-04  0.6405402721465563E-03  0.1482488207901949E-03  0.3162540363426415E-08
  0.1250442204301211E-04  0.6465006386130804E-03  0.1496283082892331E-03  0.3221675464116976E-08
  0.1262079150435469E-04  0.6525164612839893E-03  0.1510206307608483E-03  0.3281916292993750E-08
  0.1273824393070649E-04  0.6585882560148655E-03  0.1524259075964087E-03  0.3343283524891178E-08
  0.1285678940042654E-04  0.6647165434575955E-03  0.1538442592973550E-03  0.3405798221207843E-08
  0.1297643808566576E-04  0.6709018491049229E-03  0.1552758074855127E-03  0.3469481837133833E-08
  0.1309720025323975E-04  0.6771447033354154E-03  0.1567206749134986E-03  0.3534356229013208E-08
  0.1321908626550988E-04  0.6834456414588487E-03  0.1581789854752250E-03  0.3600443661844137E-08
  0.1334210658127234E-04  0.6898052037620103E-03  0.1596508642165008E-03  0.3667766816919210E-08
  0.1346627175665568E-04  0.6962239355549293E-03  0.1611364373457307E-03  0.3736348799608628E-08
  0.1359159244602657E-04  0.7027023872175340E-03  0.1626358322447142E-03  0.3806213147288856E-08
  0.1371807940290402E-04  0.7092411142467414E-03  0.1641491774795437E-03  0.3877383837419538E-08
  0.1384574348088216E-04  0.7158406773039848E-03  0.1656766028116050E-03  0.3949885295771383E-08
  0.1397459563456152E-04  0.7225016422631811E-03  0.1672182392086785E-03  0.4023742404807885E-08
  0.1410464692048905E-04  0.7292245802591417E-03  0.1687742188561438E-03  0.4098980512223720E-08
  0.1423590849810685E-04  0.7360100677364340E-03  0.1703446751682884E-03  0.4175625439642787E-08
