        2000           3
      0    0    1
      2.   2.   6.
    -0.3277244279324675E+02 -0.1930390879990958E+01 -0.8504096503878317E+00
     0.4840770027644243E+00  0.3274396939109942E+01  0.4820121132371193E+01
  0.7841702209460842E-05  0.4764071755699973E-03  0.1118765755863265E-03  0.1712535671040338E-08
  0.7914679165851546E-05  0.4808403959445436E-03  0.1129176462065216E-03  0.1744557971805651E-08
  0.7988335265114780E-05  0.4853148664800329E-03  0.1139684037646204E-03  0.1777179043988697E-08
  0.8062676827533879E-05  0.4898309709386985E-03  0.1150289383810201E-03  0.1810410083592155E-08
  0.8137710232210404E-05  0.4943890966518727E-03  0.1160993410142632E-03  0.1844262495960041E-08
  0.8213441917611531E-05  0.4989896345531591E-03  0.1171797034688280E-03  0.1878747899691802E-08
  0.8289878382122510E-05  0.5036329792119121E-03  0.1182701184029902E-03  0.1913878130629599E-08
  0.8367026184604288E-05  0.5083195288670288E-03  0.1193706793367587E-03  0.1949665245920135E-08
  0.8444891944956303E-05  0.5130496854610518E-03  0.1204814806598841E-03  0.1986121528152419E-08
  0.8523482344684535E-05  0.5178238546745911E-03  0.1216026176399422E-03  0.2023259489572894E-08
  0.8602804127474826E-05  0.5226424459610649E-03  0.1227341864304918E-03  0.2061091876379378E-08
  0.8682864099771538E-05  0.5275058725817611E-03  0.1238762840793091E-03  0.2099631673095266E-08
  0.8763669131361612E-05  0.5324145516412268E-03  0.1250290085366975E-03  0.2138892107025539E-08
  0.8845226155964043E-05  0.5373689041229840E-03  0.1261924586638760E-03  0.2178886652796057E-08
  0.8927542171824852E-05  0.5423693549255787E-03  0.1273667342414433E-03  0.2219629036977738E-08
  0.9010624242317583E-05  0.5474163328989623E-03  0.1285519359779227E-03  0.2261133242797177E-08
  0.9094479496549413E-05  0.5525102708812132E-03  0.1297481655183849E-03  0.2303413514935346E-08
  0.9179115129972870E-05  0.5576516057355964E-03  0.1309555254531508E-03  0.2346484364416002E-08
  0.9264538405003272E-05  0.5628407783879693E-03  0.1321741193265762E-03  0.2390360573585491E-08
  0.9350756651641896E-05  0.5680782338645340E-03  0.1334040516459164E-03  0.2435057201185653E-08
  0.9437777268104949E-05  0.5733644213299384E-03  0.1346454278902748E-03  0.2480589587521573E-08
  0.9525607721458395E-05  0.5786997941257330E-03  0.1358983545196328E-03  0.2526973359725940E-08
  0.9614255548258698E-05  0.5840848098091830E-03  0.1371629389839649E-03  0.2574224437121838E-08
  0.9703728355199502E-05  0.5895199301924411E-03  0.1384392897324373E-03  0.2622359036685782E-08
  0.9794033819764360E-05  0.5950056213820835E-03  0.1397275162226927E-03  0.2671393678612913E-08
  0.9885179690885519E-05  0.6005423538190136E-03  0.1410277289302208E-03  0.2721345191986212E-08
  0.9977173789608843E-05  0.6061306023187340E-03  0.1423400393578158E-03  0.2772230720551724E-08
