        2000           3
      0    0    1
      2.   2.   4.
    -0.2066865692777646E+02 -0.1244314625108818E+01 -0.6319061662200052E+00
     0.4467188593278362E+00  0.2745896495640296E+01  0.3942211865706209E+01
  0.8220229633912252E-05  0.3547221395387713E-03  0.8047483293497035E-04  0.9892687377025298E-09
  0.8296729266707774E-05  0.3580230585524745E-03  0.8122370332206203E-04  0.1007766899941905E-08
  0.8373940825334871E-05  0.3613546926952422E-03  0.8197954196570311E-04  0.1026610953142074E-08
  0.8451870935163770E-05  0.3647173277335890E-03  0.8274241369695347E-04  0.1045807364920270E-08
  0.8530526283222149E-05  0.3681112520920162E-03  0.8351238394988309E-04  0.1065362723825679E-08
  0.8609913618768938E-05  0.3715367568777206E-03  0.8428951876717766E-04  0.1085283741600572E-08
  0.8690039753873453E-05  0.3749941359055331E-03  0.8507388480579636E-04  0.1105577255483704E-08
  0.8770911563999933E-05  0.3784836857230890E-03  0.8586554934268209E-04  0.1126250230556789E-08
  0.8852535988597506E-05  0.3820057056362320E-03  0.8666458028052489E-04  0.1147309762134840E-08
  0.8934920031695647E-05  0.3855604977346537E-03  0.8747104615357867E-04  0.1168763078201199E-08
  0.9018070762505192E-05  0.3891483669177718E-03  0.8828501613353205E-04  0.1190617541888102E-08
  0.9101995316024916E-05  0.3927696209208478E-03  0.8910656003543380E-04  0.1212880654003614E-08
  0.9186700893653783E-05  0.3964245703413476E-03  0.8993574832367302E-04  0.1235560055605809E-08
  0.9272194763808885E-05  0.4001135286655479E-03  0.9077265211801527E-04  0.1258663530625086E-08
  0.9358484262549124E-05  0.4038368122953870E-03  0.9161734319969426E-04  0.1282199008535508E-08
  0.9445576794204709E-05  0.4075947405755676E-03  0.9246989401756053E-04  0.1306174567076081E-08
  0.9533479832012507E-05  0.4113876358209100E-03  0.9333037769428686E-04  0.1330598435022923E-08
  0.9622200918757304E-05  0.4152158233439586E-03  0.9419886803263155E-04  0.1355478995013250E-08
  0.9711747667419037E-05  0.4190796314828468E-03  0.9507543952175973E-04  0.1380824786422173E-08
  0.9802127761826052E-05  0.4229793916294177E-03  0.9596016734362337E-04  0.1406644508293268E-08
  0.9893348957314433E-05  0.4269154382576085E-03  0.9685312737940043E-04  0.1432947022323947E-08
  0.9985419081393476E-05  0.4308881089520967E-03  0.9775439621599405E-04  0.1459741355906640E-08
  0.1007834603441735E-04  0.4348977444372132E-03  0.9866405115259171E-04  0.1487036705226838E-08
  0.1017213779026301E-04  0.4389446886061228E-03  0.9958217020728553E-04  0.1514842438419054E-08
  0.1026680239701441E-04  0.4430292885502764E-03  0.1005088321237539E-03  0.1543168098781793E-08
  0.1036234797765314E-04  0.4471518945891368E-03  0.1014441163780055E-03  0.1572023408052631E-08
  0.1045878273075536E-04  0.4513128603001789E-03  0.1023881031851848E-03  0.1601418269744517E-08
  0.1055611493119538E-04  0.4555125425491703E-03  0.1033408735064426E-03  0.1631362772544464E-08
  0.1065435293085567E-04  0.4597513015207316E-03  0.1043025090558682E-03  0.1661867193775770E-08
  0.1075350515934353E-04  0.4640295007491807E-03  0.1052730923074879E-03  0.1692942002924978E-08
  0.1085358012471442E-04  0.4683475071496636E-03  0.1062527065023267E-03  0.1724597865234769E-08
  0.1095458641420201E-04  0.4727056910495740E-03  0.1072414356555371E-03  0.1756845645364041E-08
  0.1105653269495506E-04  0.4771044262202638E-03  0.1082393645635927E-03  0.1789696411116397E-08
  0.1115942771478106E-04  0.4815440899090496E-03  0.1092465788115495E-03  0.1823161437238360E-08
  0.1126328030289698E-04  0.4860250628715138E-03  0.1102631647803743E-03  0.1857252209288588E-08
