        2000           6
      0    0    1    0    1    0
      2.   2.   6.   2.   6.   1.
    -0.1335330502224035E+03 -0.1448995837797101E+02 -0.1151928021623235E+02 -0.1748780530122646E+01 -0.9544233956090368E+00 -0.1474752395095421E+00
     0.5875147009246540E+00  0.3471618379017480E+01  0.4690846566728521E+01  0.8428825585442572E+01  0.1030039206381663E+02  0.1442310662429762E+02
  0.3274029004437244E-05  0.5291396795657546E-03  0.1519912675748609E-03  0.2291669093742309E-08  0.5008541953315547E-04  0.6979020654097873E-09  0.9671338936532956E-05
  0.3304497984959159E-05  0.5340636843074671E-03  0.1534056497323832E-03  0.2334520649929810E-08  0.5055149843929305E-04  0.7109520252186977E-09  0.9761337325573123E-05
  0.3335250517878681E-05  0.5390335073595287E-03  0.1548331928440233E-03  0.2378173474150257E-08  0.5102191425187762E-04  0.7242460022012188E-09  0.9852173157776869E-05
  0.3366289242009477E-05  0.5440495750111662E-03  0.1562740193580531E-03  0.2422642548886955E-08  0.5149670732107633E-04  0.7377885591042448E-09  0.9943854224636140E-05
  0.3397616820722711E-05  0.5491123175167460E-03  0.1577282528616997E-03  0.2467943136767575E-08  0.5197591837237434E-04  0.7515843439894892E-09  0.1003638839011562E-04
  0.3429235942175584E-05  0.5542221691326369E-03  0.1591960180917343E-03  0.2514090785802196E-08  0.5245958851006410E-04  0.7656380918286699E-09  0.1012978359132650E-04
  0.3461149319542001E-05  0.5593795681544141E-03  0.1606774409451590E-03  0.2561101334719267E-08  0.5294775922076692E-04  0.7799546261285163E-09  0.1022404783920649E-04
  0.3493359691245379E-05  0.5645849569544114E-03  0.1621726484899929E-03  0.2608990918401335E-08  0.5344047237698732E-04  0.7945388605861610E-09  0.1031918921920615E-04
  0.3525869821193630E-05  0.5698387820196198E-03  0.1636817689761586E-03  0.2657775973422416E-08  0.5393777024070040E-04  0.8093958007754811E-09  0.1041521589198159E-04
  0.3558682499016324E-05  0.5751414939899395E-03  0.1652049318464694E-03  0.2707473243688882E-08  0.5443969546697252E-04  0.8245305458649693E-09  0.1051213609409363E-04
  0.3591800540304063E-05  0.5804935476967851E-03  0.1667422677477187E-03  0.2758099786185824E-08  0.5494629110761554E-04  0.8399482903677232E-09  0.1060995813871341E-04
  0.3625226786850079E-05  0.5858954022020530E-03  0.1682939085418729E-03  0.2809672976830849E-08  0.5545760061487509E-04  0.8556543259241530E-09  0.1070869041633460E-04
  0.3658964106894086E-05  0.5913475208374463E-03  0.1698599873173671E-03  0.2862210516437324E-08  0.5597366784515297E-04  0.8716540431180219E-09  0.1080834139549214E-04
  0.3693015395368393E-05  0.5968503712441677E-03  0.1714406384005069E-03  0.2915730436789117E-08  0.5649453706276425E-04  0.8879529333264383E-09  0.1090891962348779E-04
  0.3727383574146318E-05  0.6024044254129806E-03  0.1730359973669751E-03  0.2970251106828908E-08  0.5702025294372920E-04  0.9045565906044378E-09  0.1101043372712229E-04
  0.3762071592292904E-05  0.6080101597246413E-03  0.1746462010534462E-03  0.3025791238962210E-08  0.5755086057960036E-04  0.9214707136048009E-09  0.1111289241343436E-04
  0.3797082426317976E-05  0.6136680549907070E-03  0.1762713875693074E-03  0.3082369895479243E-08  0.5808640548132527E-04  0.9387011075337642E-09  0.1121630447044661E-04
  0.3832419080431543E-05  0.6193785964947232E-03  0.1779116963084902E-03  0.3140006495096886E-08  0.5862693358314497E-04  0.9562536861432958E-09  0.1132067876791830E-04
  0.3868084586801593E-05  0.6251422740337929E-03  0.1795672679614102E-03  0.3198720819622935E-08  0.5917249124652871E-04  0.9741344737606221E-09  0.1142602425810514E-04
  0.3904082005814267E-05  0.6309595819605323E-03  0.1812382445270187E-03  0.3258533020744957E-08  0.5972312526414529E-04  0.9923496073556975E-09  0.1153234997652612E-04
  0.3940414426336473E-05  0.6368310192254147E-03  0.1829247693249659E-03  0.3319463626946082E-08  0.6027888286387108E-04  0.1010905338647328E-08  0.1163966504273747E-04
  0.3977084965980930E-05  0.6427570894195101E-03  0.1846269870078772E-03  0.3381533550550084E-08  0.6083981171283547E-04  0.1029808036248675E-08  0.1174797866111381E-04
  0.4014096771373687E-05  0.6487383008176185E-03  0.1863450435737432E-03  0.3444764094898187E-08  0.6140595992150371E-04  0.1049064187852870E-08  0.1185730012163653E-04
  0.4051453018424128E-05  0.6547751664218064E-03  0.1880790863784250E-03  0.3509176961660057E-08  0.6197737604779778E-04  0.1068680402459493E-08  0.1196763880068954E-04
  0.4089156912597490E-05  0.6608682040053461E-03  0.1898292641482752E-03  0.3574794258281472E-08  0.6255410910125539E-04  0.1088663412642679E-08  0.1207900416186233E-04
  0.4127211689189916E-05  0.6670179361570618E-03  0.1915957269928768E-03  0.3641638505571237E-08  0.6313620854722762E-04  0.1109020076861625E-08  0.1219140575676055E-04
  0.4165620613606077E-05  0.6732248903260906E-03  0.1933786264178992E-03  0.3709732645429962E-08  0.6372372431111576E-04  0.1129757381814308E-08  0.1230485322582410E-04
  0.4204386981639358E-05  0.6794895988670551E-03  0.1951781153380751E-03  0.3779100048723325E-08  0.6431670678264699E-04  0.1150882444835192E-08  0.1241935629915279E-04
  0.4243514119754673E-05  0.6858125990856592E-03  0.1969943480902964E-03  0.3849764523302541E-08  0.6491520682019031E-04  0.1172402516337776E-08  0.1253492479733967E-04
  0.4283005385373897E-05  0.6921944332847035E-03  0.1988274804468323E-03  0.3921750322174780E-08  0.6551927575511203E-04  0.1194324982302801E-08  0.1265156863231216E-04
  0.4322864167163963E-05  0.6986356488105308E-03  0.2006776696286700E-03  0.3995082151826354E-08  0.6612896539617217E-04  0.1216657366812985E-08  0.1276929780818087E-04
  0.4363093885327637E-05  0.7051367980999005E-03  0.2025450743189799E-03  0.4069785180701500E-08  0.6674432803396120E-04  0.1239407334635138E-08  0.1288812242209640E-04
  0.4403697991896993E-05  0.7116984387273002E-03  0.2044298546767042E-03  0.4145885047839695E-08  0.6736541644537835E-04  0.1262582693850563E-08  0.1300805266511404E-04
