        2000           3
      0    0    1
      2.   2.   2.
    -0.1132551869438894E+02 -0.7056272781759070E+00 -0.4333405065661955E+00
     0.4122130798006953E+00  0.2224858318384831E+01  0.3083687973598918E+01
  0.1602375924709783E-04  0.4434608760363248E-03  0.9448710427130282E-04  0.1562557332573041E-08
  0.1617288059199917E-04  0.4475874398612476E-03  0.9536634094549714E-04  0.1591775092462976E-08
  0.1632338969960727E-04  0.4517523990933725E-03  0.9625375843341464E-04  0.1621539179151135E-08
  0.1647529948480920E-04  0.4559561109105134E-03  0.9714943283804081E-04  0.1651859807911159E-08
  0.1662862298268140E-04  0.4601989358118572E-03  0.9805344097003787E-04  0.1682747385017543E-08
  0.1678337334960818E-04  0.4644812376488256E-03  0.9896586035432017E-04  0.1714212511316746E-08
  0.1693956386441064E-04  0.4688033836562207E-03  0.9988676923669061E-04  0.1746265985865046E-08
  0.1709720792948611E-04  0.4731657444836621E-03  0.1008162465905385E-03  0.1778918809634432E-08
  0.1725631907195815E-04  0.4775686942273135E-03  0.1017543721235998E-03  0.1812182189287751E-08
  0.1741691094483737E-04  0.4820126104619051E-03  0.1027012262847800E-03  0.1846067541024458E-08
  0.1757899732819285E-04  0.4864978742730518E-03  0.1036568902710396E-03  0.1880586494498249E-08
  0.1774259213033467E-04  0.4910248702898715E-03  0.1046214460343450E-03  0.1915750896807940E-08
  0.1790770938900733E-04  0.4955939867179076E-03  0.1055949762886821E-03  0.1951572816562962E-08
  0.1807436327259428E-04  0.5002056153723535E-03  0.1065775645171362E-03  0.1988064548024852E-08
  0.1824256808133370E-04  0.5048601517115885E-03  0.1075692949790368E-03  0.2025238615326176E-08
  0.1841233824854558E-04  0.5095579948710230E-03  0.1085702527171695E-03  0.2063107776768333E-08
  0.1858368834187020E-04  0.5142995476972578E-03  0.1095805235650536E-03  0.2101685029199690E-08
  0.1875663306451816E-04  0.5190852167825599E-03  0.1106001941542884E-03  0.2140983612475588E-08
  0.1893118725653203E-04  0.5239154124996592E-03  0.1116293519219668E-03  0.2181017014001708E-08
  0.1910736589605974E-04  0.5287905490368668E-03  0.1126680851181581E-03  0.2221798973362395E-08
  0.1928518410063982E-04  0.5337110444335186E-03  0.1137164828134596E-03  0.2263343487035494E-08
  0.1946465712849863E-04  0.5386773206157495E-03  0.1147746349066193E-03  0.2305664813195339E-08
  0.1964580037985963E-04  0.5436898034325963E-03  0.1158426321322279E-03  0.2348777476605529E-08
  0.1982862939826482E-04  0.5487489226924379E-03  0.1169205660684834E-03  0.2392696273603179E-08
  0.2001315987190851E-04  0.5538551121997721E-03  0.1180085291450266E-03  0.2437436277176347E-08
  0.2019940763498353E-04  0.5590088097923339E-03  0.1191066146508501E-03  0.2483012842136387E-08
  0.2038738866903986E-04  0.5642104573785579E-03  0.1202149167422802E-03  0.2529441610386995E-08
  0.2057711910435604E-04  0.5694605009753865E-03  0.1213335304510328E-03  0.2576738516291758E-08
  0.2076861522132325E-04  0.5747593907464316E-03  0.1224625516923440E-03  0.2624919792142056E-08
  0.2096189345184229E-04  0.5801075810404868E-03  0.1236020772731763E-03  0.2674001973727176E-08
  0.2115697038073358E-04  0.5855055304303988E-03  0.1247522049005004E-03  0.2724001906008560E-08
  0.2135386274716028E-04  0.5909537017522982E-03  0.1259130331896542E-03  0.2774936748900138E-08
  0.2155258744606461E-04  0.5964525621451940E-03  0.1270846616727791E-03  0.2826823983156711E-08
  0.2175316152961764E-04  0.6020025830909352E-03  0.1282671908073346E-03  0.2879681416372425E-08
  0.2195560220868240E-04  0.6076042404545424E-03  0.1294607219846913E-03  0.2933527189091374E-08
  0.2215992685429079E-04  0.6132580145249138E-03  0.1306653575388047E-03  0.2988379781032447E-08
  0.2236615299913415E-04  0.6189643900559083E-03  0.1318812007549678E-03  0.3044258017430544E-08
  0.2257429833906767E-04  0.6247238563078080E-03  0.1331083558786461E-03  0.3101181075496325E-08
  0.2278438073462885E-04  0.6305369070891675E-03  0.1343469281243938E-03  0.3159168490996741E-08
  0.2299641821257008E-04  0.6364040407990479E-03  0.1355970236848531E-03  0.3218240164958560E-08
  0.2321042896740547E-04  0.6423257604696450E-03  0.1368587497398364E-03  0.3278416370497232E-08
  0.2342643136297213E-04  0.6483025738093105E-03  0.1381322144654928E-03  0.3339717759773403E-08
  0.2364444393400586E-04  0.6543349932459728E-03  0.1394175270435598E-03  0.3402165371079473E-08
  0.2386448538773164E-04  0.6604235359709586E-03  0.1407147976707002E-03  0.3465780636058643E-08
  0.2408657460546882E-04  0.6665687239832233E-03  0.1420241375679259E-03  0.3530585387058901E-08
  0.2431073064425133E-04  0.6727710841339879E-03  0.1433456589901092E-03  0.3596601864624494E-08
  0.2453697273846287E-04  0.6790311481717920E-03  0.1446794752355814E-03  0.3663852725127443E-08
  0.2476532030148743E-04  0.6853494527879621E-03  0.1460257006558210E-03  0.3732361048541721E-08
  0.2499579292737509E-04  0.6917265396625027E-03  0.1473844506652315E-03  0.3802150346362758E-08
  0.2522841039252333E-04  0.6981629555104108E-03  0.1487558417510099E-03  0.3873244569674997E-08
  0.2546319265737403E-04  0.7046592521284216E-03  0.1501399914831058E-03  0.3945668117370262E-08
  0.2570015986812624E-04  0.7112159864421842E-03  0.1515370185242738E-03  0.4019445844519754E-08
  0.2593933235846483E-04  0.7178337205538773E-03  0.1529470426402188E-03  0.4094603070902556E-08
  0.2618073065130535E-04  0.7245130217902628E-03  0.1543701847098340E-03  0.4171165589693563E-08
