        2000           3
      0    0    1
      2.   2.   1.
    -0.7695334760108004E+01 -0.4947057989377372E+00 -0.3098564013146812E+00
     0.3968868369703911E+00  0.1965196651769807E+01  0.2732177410307091E+01
  0.3746272960794369E-04  0.7804761943856512E-03  0.1575899128753360E-03  0.4599418818821097E-08
  0.3781136768572957E-04  0.7877381392692904E-03  0.1590562090457421E-03  0.4685419892912705E-08
  0.3816325028174874E-04  0.7950676400597285E-03  0.1605361457721267E-03  0.4773028997709581E-08
  0.3851840759034669E-04  0.8024653249700986E-03  0.1620298499001849E-03  0.4862276198754050E-08
  0.3887687008686546E-04  0.8099318280508759E-03  0.1635374494542588E-03  0.4953192123696735E-08
  0.3923866853025871E-04  0.8174677892440367E-03  0.1650590736482733E-03  0.5045807972804920E-08
  0.3960383396573102E-04  0.8250738544377137E-03  0.1665948528967715E-03  0.5140155529667350E-08
  0.3997239772740192E-04  0.8327506755213595E-03  0.1681449188260533E-03  0.5236267172099109E-08
  0.4034439144099451E-04  0.8404989104414175E-03  0.1697094042854161E-03  0.5334175883250341E-08
  0.4071984702654924E-04  0.8483192232575115E-03  0.1712884433585000E-03  0.5433915262922620E-08
  0.4109879670116293E-04  0.8562122841991504E-03  0.1728821713747380E-03  0.5535519539096840E-08
  0.4148127298175321E-04  0.8641787697229609E-03  0.1744907249209115E-03  0.5639023579676580E-08
  0.4186730868784877E-04  0.8722193625704471E-03  0.1761142418528131E-03  0.5744462904450983E-08
  0.4225693694440551E-04  0.8803347518262843E-03  0.1777528613070170E-03  0.5851873697281234E-08
  0.4265019118464892E-04  0.8885256329771525E-03  0.1794067237127583E-03  0.5961292818514830E-08
  0.4304710515294298E-04  0.8967927079711141E-03  0.1810759708039224E-03  0.6072757817631895E-08
  0.4344771290768560E-04  0.9051366852775375E-03  0.1827607456311441E-03  0.6186306946127854E-08
  0.4385204882423120E-04  0.9135582799475792E-03  0.1844611925740202E-03  0.6301979170636943E-08
  0.4426014759784034E-04  0.9220582136752203E-03  0.1861774573534334E-03  0.6419814186300975E-08
  0.4467204424665682E-04  0.9306372148588691E-03  0.1879096870439912E-03  0.6539852430388005E-08
  0.4508777411471260E-04  0.9392960186635345E-03  0.1896580300865791E-03  0.6662135096165553E-08
  0.4550737287496055E-04  0.9480353670835700E-03  0.1914226363010300E-03  0.6786704147033122E-08
  0.4593087653233545E-04  0.9568560090060011E-03  0.1932036568989106E-03  0.6913602330918868E-08
