        2000           3
      0    0    1
      2.   2.   3.
    -0.1566639161120277E+02 -0.9636702704217127E+00 -0.5086548640808969E+00
     0.4285414614297460E+00  0.2476215884947882E+01  0.3543675409166722E+01
  0.1425310541372692E-04  0.5007188155999884E-03  0.1108847582171052E-03  0.1987001019924953E-08
  0.1438574858537844E-04  0.5053781681905301E-03  0.1119165772109695E-03  0.2024155282414257E-08
  0.1451962616949484E-04  0.5100808731755866E-03  0.1129579966424433E-03  0.2062004271029004E-08
  0.1465474965384523E-04  0.5148273338399632E-03  0.1140091058194090E-03  0.2100560975801295E-08
  0.1479113063310699E-04  0.5196179572184733E-03  0.1150699948801925E-03  0.2139838629644580E-08
  0.1492878080986060E-04  0.5244531541307796E-03  0.1161407548012787E-03  0.2179850712894741E-08
  0.1506771199559387E-04  0.5293333392165576E-03  0.1172214774050990E-03  0.2220610957936065E-08
  0.1520793611171543E-04  0.5342589309709876E-03  0.1183122553678905E-03  0.2262133353913704E-08
  0.1534946519057771E-04  0.5392303517805730E-03  0.1194131822276281E-03  0.2304432151534241E-08
  0.1549231137650938E-04  0.5442480279592933E-03  0.1205243523920310E-03  0.2347521867956000E-08
  0.1563648692685745E-04  0.5493123897850906E-03  0.1216458611466424E-03  0.2391417291770780E-08
  0.1578200421303907E-04  0.5544238715366961E-03  0.1227778046629845E-03  0.2436133488078729E-08
  0.1592887572160303E-04  0.5595829115307955E-03  0.1239202800067893E-03  0.2481685803658089E-08
  0.1607711405530128E-04  0.5647899521595427E-03  0.1250733851463058E-03  0.2528089872231599E-08
  0.1622673193417031E-04  0.5700454399284190E-03  0.1262372189606841E-03  0.2575361619831339E-08
  0.1637774219662263E-04  0.5753498254944422E-03  0.1274118812484365E-03  0.2623517270263886E-08
  0.1653015780054841E-04  0.5807035637047339E-03  0.1285974727359790E-03  0.2672573350677636E-08
  0.1668399182442740E-04  0.5861071136354408E-03  0.1297940950862493E-03  0.2722546697234205E-08
  0.1683925746845111E-04  0.5915609386310177E-03  0.1310018509074074E-03  0.2773454460885860E-08
  0.1699596805565556E-04  0.5970655063438765E-03  0.1322208437616150E-03  0.2825314113260954E-08
  0.1715413703306444E-04  0.6026212887744011E-03  0.1334511781738970E-03  0.2878143452659400E-08
  0.1731377797284302E-04  0.6082287623113324E-03  0.1346929596410851E-03  0.2931960610160217E-08
  0.1747490457346273E-04  0.6138884077725311E-03  0.1359462946408445E-03  0.2986784055843263E-08
  0.1763753066087660E-04  0.6196007104461143E-03  0.1372112906407837E-03  0.3042632605127284E-08
  0.1780167018970564E-04  0.6253661601319766E-03  0.1384880561076496E-03  0.3099525425226442E-08
  0.1796733724443624E-04  0.6311852511836937E-03  0.1397767005166065E-03  0.3157482041727558E-08
  0.1813454604062878E-04  0.6370584825508171E-03  0.1410773343606031E-03  0.3216522345290307E-08
  0.1830331092613738E-04  0.6429863578215579E-03  0.1423900691598244E-03  0.3276666598472674E-08
  0.1847364638234110E-04  0.6489693852658680E-03  0.1437150174712321E-03  0.3337935442684006E-08
  0.1864556702538655E-04  0.6550080778789209E-03  0.1450522928981935E-03  0.3400349905268054E-08
  0.1881908760744205E-04  0.6611029534249931E-03  0.1464020101001993E-03  0.3463931406718426E-08
  0.1899422301796354E-04  0.6672545344817559E-03  0.1477642848026719E-03  0.3528701768028926E-08
  0.1917098828497213E-04  0.6734633484849735E-03  0.1491392338068636E-03  0.3594683218181311E-08
  0.1934939857634372E-04  0.6797299277736193E-03  0.1505269749998480E-03  0.3661898401773020E-08
  0.1952946920111044E-04  0.6860548096354071E-03  0.1519276273646027E-03  0.3730370386787505E-08
  0.1971121561077435E-04  0.6924385363527456E-03  0.1533413109901865E-03  0.3800122672509818E-08
  0.1989465340063326E-04  0.6988816552491186E-03  0.1547681470820095E-03  0.3871179197590174E-08
  0.2007979831111897E-04  0.7053847187358956E-03  0.1562082579722000E-03  0.3943564348258268E-08
  0.2026666622914788E-04  0.7119482843595742E-03  0.1576617671300661E-03  0.4017302966691127E-08
  0.2045527318948426E-04  0.7185729148494617E-03  0.1591287991726548E-03  0.4092420359537418E-08
  0.2064563537611613E-04  0.7252591781657985E-03  0.1606094798754094E-03  0.4168942306601102E-08
  0.2083776912364400E-04  0.7320076475483267E-03  0.1621039361829244E-03  0.4246895069687407E-08
  0.2103169091868246E-04  0.7388189015653079E-03  0.1636122962198013E-03  0.4326305401614187E-08
  0.2122741740127494E-04  0.7456935241629969E-03  0.1651346893016037E-03  0.4407200555391730E-08
  0.2142496536632151E-04  0.7526321047155724E-03  0.1666712459459156E-03  0.4489608293574169E-08
  0.2162435176502000E-04  0.7596352380755306E-03  0.1682220978834999E-03  0.4573556897785717E-08
  0.2182559370632060E-04  0.7667035246245440E-03  0.1697873780695623E-03  0.4659075178424973E-08
  0.2202870845839392E-04  0.7738375703247952E-03  0.1713672206951184E-03  0.4746192484550646E-08
  0.2223371345011271E-04  0.7810379867707799E-03  0.1729617611984659E-03  0.4834938713952072E-08
  0.2244062627254745E-04  0.7883053912415971E-03  0.1745711362767641E-03  0.4925344323408000E-08
  0.2264946468047577E-04  0.7956404067537159E-03  0.1761954838977196E-03  0.5017440339137133E-08
  0.2286024659390596E-04  0.8030436621142372E-03  0.1778349433113805E-03  0.5111258367444035E-08
  0.2307299009961464E-04  0.8105157919746447E-03  0.1794896550620402E-03  0.5206830605564059E-08
  0.2328771345269878E-04  0.8180574368850547E-03  0.1811597610002506E-03  0.5304189852710984E-08
  0.2350443507814210E-04  0.8256692433489691E-03  0.1828454042949477E-03  0.5403369521331180E-08
  0.2372317357239610E-04  0.8333518638785336E-03  0.1845467294456882E-03  0.5504403648568159E-08
  0.2394394770497578E-04  0.8411059570503080E-03  0.1862638822950002E-03  0.5607326907941419E-08
  0.2416677642007021E-04  0.8489321875615544E-03  0.1879970100408478E-03  0.5712174621243613E-08
  0.2439167883816811E-04  0.8568312262870436E-03  0.1897462612492115E-03  0.5818982770660117E-08
  0.2461867425769851E-04  0.8648037503363892E-03  0.1915117858667844E-03  0.5927788011115142E-08
  0.2484778215668676E-04  0.8728504431119127E-03  0.1932937352337869E-03  0.6038627682848642E-08
  0.2507902219442582E-04  0.8809719943670419E-03  0.1950922620968990E-03  0.6151539824228315E-08
  0.2531241421316329E-04  0.8891691002652525E-03  0.1969075206223125E-03  0.6266563184801101E-08
  0.2554797823980394E-04  0.8974424634395534E-03  0.1987396664089046E-03  0.6383737238588656E-08
  0.2578573448762823E-04  0.9057927930525214E-03  0.2005888565015329E-03  0.6503102197631338E-08
  0.2602570335802675E-04  0.9142208048568954E-03  0.2024552494044532E-03  0.6624699025785396E-08
  0.2626790544225085E-04  0.9227272212567274E-03  0.2043390050948619E-03  0.6748569452778042E-08
  0.2651236152317950E-04  0.9313127713691004E-03  0.2062402850365637E-03  0.6874755988525254E-08
  0.2675909257710264E-04  0.9399781910864177E-03  0.2081592521937654E-03  0.7003301937717231E-08
  0.2700811977552112E-04  0.9487242231392685E-03  0.2100960710449975E-03  0.7134251414676468E-08
  0.2725946448696339E-04  0.9575516171598745E-03  0.2120509075971645E-03  0.7267649358493583E-08
  0.2751314827881906E-04  0.9664611297461238E-03  0.2140239293997255E-03  0.7403541548446049E-08
  0.2776919291918962E-04  0.9754535245261968E-03  0.2160153055590052E-03  0.7541974619705159E-08
  0.2802762037875622E-04  0.9845295722237899E-03  0.2180252067526386E-03  0.7682996079336575E-08
  0.2828845283266502E-04  0.9936900507239415E-03  0.2200538052441474E-03  0.7826654322599974E-08
  0.2855171266242994E-04  0.1002935745139471E-02  0.2221012748976530E-03  0.7972998649553364E-08
  0.2881742245785322E-04  0.1012267447878024E-02  0.2241677911927246E-03  0.8122079281967766E-08
  0.2908560501896374E-04  0.1021685958709747E-02  0.2262535312393645E-03  0.8273947380558074E-08
  0.2935628335797352E-04  0.1031192084835578E-02  0.2283586737931330E-03  0.8428655062535991E-08
  0.2962948070125230E-04  0.1040786640956180E-02  0.2304833992704112E-03  0.8586255419491054E-08
  0.2990522049132055E-04  0.1050470449341501E-02  0.2326278897638076E-03  0.8746802535605912E-08
  0.3018352638886108E-04  0.1060244339900982E-02  0.2347923290577042E-03  0.8910351506212048E-08
  0.3046442227474923E-04  0.1070109150254414E-02  0.2369769026439486E-03  0.9076958456692361E-08
  0.3074793225210212E-04  0.1080065725803450E-02  0.2391817977376902E-03  0.9246680561737069E-08
  0.3103408064834685E-04  0.1090114919803777E-02  0.2414072032933622E-03  0.9419576064959512E-08
  0.3132289201730800E-04  0.1100257593437954E-02  0.2436533100208130E-03  0.9595704298878633E-08
  0.3161439114131452E-04  0.1110494615888927E-02  0.2459203104015846E-03  0.9775125705274943E-08
  0.3190860303332630E-04  0.1120826864414220E-02  0.2482083987053432E-03  0.9957901855926971E-08
  0.3220555293908043E-04  0.1131255224420812E-02  0.2505177710064605E-03  0.1014409547373530E-07
  0.3250526633925753E-04  0.1141780589540706E-02  0.2528486252007486E-03  0.1033377045424145E-07
  0.3280776895166817E-04  0.1152403861707197E-02  0.2552011610223496E-03  0.1052699188754894E-07
  0.3311308673345969E-04  0.1163125951231844E-02  0.2575755800607814E-03  0.1072382608065413E-07
  0.3342124588334348E-04  0.1173947776882154E-02  0.2599720857781402E-03  0.1092434058019442E-07
  0.3373227284384310E-04  0.1184870265959982E-02  0.2623908835264625E-03  0.1112860419562160E-07
  0.3404619430356323E-04  0.1195894354380654E-02  0.2648321805652478E-03  0.1133668702280838E-07
  0.3436303719947976E-04  0.1207020986752825E-02  0.2672961860791421E-03  0.1154866046809617E-07
  0.3468282871925121E-04  0.1218251116459074E-02  0.2697831111957858E-03  0.1176459727279220E-07
  0.3500559630355164E-04  0.1229585705737234E-02  0.2722931690038258E-03  0.1198457153812466E-07
  0.3533136764842531E-04  0.1241025725762490E-02  0.2748265745710938E-03  0.1220865875066417E-07
  0.3566017070766318E-04  0.1252572156730218E-02  0.2773835449629533E-03  0.1243693580822041E-07
  0.3599203369520159E-04  0.1264225987939600E-02  0.2799642992608142E-03  0.1266948104622278E-07
  0.3632698508754325E-04  0.1275988217878005E-02  0.2825690585808212E-03  0.1290637426459410E-07
  0.3666505362620070E-04  0.1287859854306152E-02  0.2851980460927115E-03  0.1314769675512663E-07
  0.3700626832016267E-04  0.1299841914344060E-02  0.2878514870388490E-03  0.1339353132936967E-07
  0.3735065844838318E-04  0.1311935424557786E-02  0.2905296087534329E-03  0.1364396234703848E-07
  0.3769825356229393E-04  0.1324141421046969E-02  0.2932326406818838E-03  0.1389907574495404E-07
  0.3804908348834011E-04  0.1336460949533182E-02  0.2959608144004095E-03  0.1415895906652384E-07
  0.3840317833053965E-04  0.1348895065449089E-02  0.2987143636357499E-03  0.1442370149177352E-07
  0.3876056847306649E-04  0.1361444834028443E-02  0.3014935242851051E-03  0.1469339386793985E-07
  0.3912128458285771E-04  0.1374111330396897E-02  0.3042985344362475E-03  0.1496812874063552E-07
