        2000           2
      0    0
      2.   1.
    -0.2477741487796333E+01 -0.1963228295925442E+00
     0.3827695701349945E+00  0.1451078769857977E+01
  0.1925444999810782E-04  0.1782930356453666E-03  0.2785575746548521E-04
  0.1943363700627343E-04  0.1799521810927831E-03  0.2811497540406977E-04
  0.1961449157616625E-04  0.1816267651780925E-03  0.2837660541080083E-04
  0.1979702922655710E-04  0.1833169315435242E-03  0.2864066992773882E-04
  0.1998126562063859E-04  0.1850228251674477E-03  0.2890719160569712E-04
  0.2016721656736916E-04  0.1867445923767954E-03  0.2917619330618291E-04
  0.2035489802282958E-04  0.1884823808596005E-03  0.2944769810335607E-04
  0.2054432609159214E-04  0.1902363396776518E-03  0.2972172928600630E-04
  0.2073551702810255E-04  0.1920066192792653E-03  0.2999831035954850E-04
  0.2092848723807468E-04  0.1937933715121753E-03  0.3027746504803680E-04
  0.2112325327989831E-04  0.1955967496365445E-03  0.3055921729619726E-04
  0.2131983186606002E-04  0.1974169083380953E-03  0.3084359127147941E-04
  0.2151823986457717E-04  0.1992540037413628E-03  0.3113061136612684E-04
  0.2171849430044537E-04  0.2011081934230717E-03  0.3142030219926714E-04
  0.2192061235709934E-04  0.2029796364256357E-03  0.3171268861902107E-04
  0.2212461137788740E-04  0.2048684932707847E-03  0.3200779570463143E-04
  0.2233050886755966E-04  0.2067749259733159E-03  0.3230564876861175E-04
  0.2253832249377005E-04  0.2086990980549746E-03  0.3260627335891474E-04
  0.2274807008859240E-04  0.2106411745584634E-03  0.3290969526112110E-04
  0.2295976965005050E-04  0.2126013220615809E-03  0.3321594050064851E-04
  0.2317343934366254E-04  0.2145797086914922E-03  0.3352503534498118E-04
  0.2338909750399982E-04  0.2165765041391318E-03  0.3383700630592010E-04
  0.2360676263626001E-04  0.2185918796737403E-03  0.3415188014185421E-04
  0.2382645341785506E-04  0.2206260081575361E-03  0.3446968386005262E-04
  0.2404818870001385E-04  0.2226790640605232E-03  0.3479044471897806E-04
  0.2427198750939978E-04  0.2247512234754365E-03  0.3511419023062203E-04
  0.2449786904974342E-04  0.2268426641328258E-03  0.3544094816286132E-04
  0.2472585270349036E-04  0.2289535654162804E-03  0.3577074654183670E-04
  0.2495595803346433E-04  0.2310841083777944E-03  0.3610361365435344E-04
  0.2518820478454589E-04  0.2332344757532743E-03  0.3643957805030436E-04
  0.2542261288536669E-04  0.2354048519781922E-03  0.3677866854511520E-04
  0.2565920245001948E-04  0.2375954232033824E-03  0.3712091422221273E-04
  0.2589799377978410E-04  0.2398063773109862E-03  0.3746634443551583E-04
  0.2613900736486947E-04  0.2420379039305433E-03  0.3781498881194963E-04
  0.2638226388617182E-04  0.2442901944552340E-03  0.3816687725398305E-04
  0.2662778421704927E-04  0.2465634420582710E-03  0.3852203994218981E-04
  0.2687558942511293E-04  0.2488578417094443E-03  0.3888050733783335E-04
  0.2712570077403468E-04  0.2511735901918189E-03  0.3924231018547557E-04
  0.2737813972537177E-04  0.2535108861185877E-03  0.3960747951560995E-04
  0.2763292794040837E-04  0.2558699299500814E-03  0.3997604664731897E-04
  0.2789008728201429E-04  0.2582509240109358E-03  0.4034804319095631E-04
  0.2814963981652101E-04  0.2606540725074179E-03  0.4072350105085391E-04
  0.2841160781561512E-04  0.2630795815449142E-03  0.4110245242805409E-04
  0.2867601375824942E-04  0.2655276591455797E-03  0.4148492982306710E-04
  0.2894288033257179E-04  0.2679985152661525E-03  0.4187096603865431E-04
  0.2921223043787204E-04  0.2704923618159316E-03  0.4226059418263704E-04
  0.2948408718654682E-04  0.2730094126749235E-03  0.4265384767073165E-04
  0.2975847390608284E-04  0.2755498837121560E-03  0.4305076022941094E-04
  0.3003541414105861E-04  0.2781139928041626E-03  0.4345136589879190E-04
  0.3031493165516471E-04  0.2807019598536379E-03  0.4385569903555046E-04
  0.3059705043324290E-04  0.2833140068082668E-03  0.4426379431586322E-04
  0.3088179468334424E-04  0.2859503576797272E-03  0.4467568673837650E-04
  0.3116918883880632E-04  0.2886112385628708E-03  0.4509141162720286E-04
  0.3145925756034983E-04  0.2912968776550802E-03  0.4551100463494551E-04
  0.3175202573819465E-04  0.2940075052758064E-03  0.4593450174575071E-04
  0.3204751849419566E-04  0.2967433538862880E-03  0.4636193927838865E-04
  0.3234576118399834E-04  0.2995046581094522E-03  0.4679335388936266E-04
  0.3264677939921453E-04  0.3022916547500013E-03  0.4722878257604753E-04
  0.3295059896961840E-04  0.3051045828146856E-03  0.4766826267985669E-04
  0.3325724596536281E-04  0.3079436835327634E-03  0.4811183188943897E-04
  0.3356674669921636E-04  0.3108092003766522E-03  0.4855952824390500E-04
  0.3387912772882129E-04  0.3137013790827707E-03  0.4901139013608337E-04
  0.3419441585897222E-04  0.3166204676725736E-03  0.4946745631580722E-04
  0.3451263814391631E-04  0.3195667164737827E-03  0.4992776589323110E-04
  0.3483382188967474E-04  0.3225403781418144E-03  0.5039235834217885E-04
  0.3515799465638569E-04  0.3255417076814054E-03  0.5086127350352227E-04
  0.3548518426066934E-04  0.3285709624684402E-03  0.5133455158859130E-04
  0.3581541877801465E-04  0.3316284022719794E-03  0.5181223318261573E-04
  0.3614872654518855E-04  0.3347142892764946E-03  0.5229435924819892E-04
  0.3648513616266740E-04  0.3378288881043067E-03  0.5278097112882374E-04
  0.3682467649709117E-04  0.3409724658382348E-03  0.5327211055239084E-04
  0.3716737668374040E-04  0.3441452920444536E-03  0.5376781963479002E-04
  0.3751326612903633E-04  0.3473476387955636E-03  0.5426814088350444E-04
  0.3786237451306407E-04  0.3505797806938745E-03  0.5477311720124848E-04
  0.3821473179211947E-04  0.3538419948949052E-03  0.5528279188963920E-04
  0.3857036820127963E-04  0.3571345611311012E-03  0.5579720865290185E-04
  0.3892931425699727E-04  0.3604577617357725E-03  0.5631641160160985E-04
  0.3929160075971926E-04  0.3638118816672526E-03  0.5684044525645920E-04
  0.3965725879652963E-04  0.3671972085332821E-03  0.5736935455207825E-04
  0.4002631974381703E-04  0.3706140326156185E-03  0.5790318484087245E-04
  0.4039881526996705E-04  0.3740626468948735E-03  0.5844198189690493E-04
  0.4077477733807971E-04  0.3775433470755809E-03  0.5898579191981303E-04
  0.4115423820871207E-04  0.3810564316114974E-03  0.5953466153876105E-04
  0.4153723044264649E-04  0.3846022017311373E-03  0.6008863781642979E-04
  0.4192378690368457E-04  0.3881809614635436E-03  0.6064776825304293E-04
  0.4231394076146716E-04  0.3917930176642988E-03  0.6121210079043073E-04
  0.4270772549432055E-04  0.3954386800417763E-03  0.6178168381613166E-04
  0.4310517489212923E-04  0.3991182611836356E-03  0.6235656616753165E-04
  0.4350632305923527E-04  0.4028320765835621E-03  0.6293679713604194E-04
  0.4391120441736479E-04  0.4065804446682556E-03  0.6352242647131565E-04
  0.4431985370858158E-04  0.4103636868246690E-03  0.6411350438550336E-04
  0.4473230599826831E-04  0.4141821274274981E-03  0.6471008155754810E-04
  0.4514859667813535E-04  0.4180360938669282E-03  0.6531220913752028E-04
  0.4556876146925769E-04  0.4219259165766357E-03  0.6591993875099261E-04
  0.4599283642514015E-04  0.4258519290620510E-03  0.6653332250345571E-04
  0.4642085793481095E-04  0.4298144679288818E-03  0.6715241298477451E-04
