        2000           4
      0    0    1    0
      2.   2.   6.   2.
    -0.4903173607247601E+02 -0.3767721468412242E+01 -0.2282226019076046E+01 -0.2530525820035628E+00
     0.5140438887868424E+00  0.3308568529002066E+01  0.4700708876376242E+01  0.7849918529054308E+01
  0.4638518046958752E-05  0.3723712999346596E-03  0.9408603220620270E-04  0.1118005423024077E-08  0.1812671742079546E-04
  0.4681685323678595E-05  0.3758364911293944E-03  0.9496157253437541E-04  0.1138910863435581E-08  0.1829539997384279E-04
  0.4725254326501591E-05  0.3793339266702411E-03  0.9584525995277689E-04  0.1160207209207032E-08  0.1846565215416520E-04
  0.4769228793997190E-05  0.3828639065635510E-03  0.9673717026318629E-04  0.1181901769696668E-08  0.1863748856581599E-04
  0.4813612499526955E-05  0.3864267336063412E-03  0.9763737997249242E-04  0.1204001990934805E-08  0.1881092394869565E-04
  0.4858409251568357E-05  0.3900227134122415E-03  0.9854596629924998E-04  0.1226515458179309E-08  0.1898597317981501E-04
  0.4903622894041562E-05  0.3936521544376819E-03  0.9946300718029605E-04  0.1249449898518835E-08  0.1916265127456998E-04
  0.4949257306639275E-05  0.3973153680083243E-03  0.1003885812774287E-03  0.1272813183524744E-08  0.1934097338802823E-04
  0.4995316405159648E-05  0.4010126683457392E-03  0.1013227679841472E-03  0.1296613331952606E-08  0.1952095481622775E-04
  0.5041804141842291E-05  0.4047443725943299E-03  0.1022656474324550E-03  0.1320858512494206E-08  0.1970261099748759E-04
  0.5088724505707395E-05  0.4085108008485067E-03  0.1032173004997256E-03  0.1345557046581008E-08  0.1988595751373060E-04
  0.5136081522898035E-05  0.4123122761801149E-03  0.1041778088156328E-03  0.1370717411240040E-08  0.2007101009181859E-04
  0.5183879257025637E-05  0.4161491246661153E-03  0.1051472547691446E-03  0.1396348242003162E-08  0.2025778460489988E-04
  0.5232121809518669E-05  0.4200216754165239E-03  0.1061257215155828E-03  0.1422458335870748E-08  0.2044629707376928E-04
  0.5280813319974578E-05  0.4239302606026096E-03  0.1071132929837476E-03  0.1449056654330759E-08  0.2063656366824081E-04
  0.5329957966515005E-05  0.4278752154853549E-03  0.1081100538831083E-03  0.1476152326434279E-08  0.2082860070853311E-04
  0.5379559966144292E-05  0.4318568784441798E-03  0.1091160897110616E-03  0.1503754651928546E-08  0.2102242466666767E-04
  0.5429623575111342E-05  0.4358755910059341E-03  0.1101314867602562E-03  0.1531873104448563E-08  0.2121805216788018E-04
  0.5480153089274834E-05  0.4399316978741565E-03  0.1111563321259864E-03  0.1560517334768383E-08  0.2141549999204485E-04
  0.5531152844471849E-05  0.4440255469586084E-03  0.1121907137136537E-03  0.1589697174113183E-08  0.2161478507511205E-04
  0.5582627216889914E-05  0.4481574894050794E-03  0.1132347202462979E-03  0.1619422637533256E-08  0.2181592451055924E-04
  0.5634580623442514E-05  0.4523278796254707E-03  0.1142884412721984E-03  0.1649703927341100E-08  0.2201893555085541E-04
  0.5687017522148099E-05  0.4565370753281583E-03  0.1153519671725457E-03  0.1680551436612753E-08  0.2222383560893914E-04
  0.5739942412512625E-05  0.4607854375486372E-03  0.1164253891691842E-03  0.1711975752754608E-08  0.2243064225971030E-04
  0.5793359835915635E-05  0.4650733306804511E-03  0.1175087993324272E-03  0.1743987661136900E-08  0.2263937324153570E-04
  0.5847274375999955E-05  0.4694011225064082E-03  0.1186022905889443E-03  0.1776598148795138E-08  0.2285004645776867E-04
  0.5901690659065004E-05  0.4737691842300879E-03  0.1197059567297217E-03  0.1809818408200738E-08  0.2306267997828274E-04
  0.5956613354463765E-05  0.4781778905076397E-03  0.1208198924180970E-03  0.1843659841102153E-08  0.2327729204101960E-04
