        2000           2
      0    0
      2.   2.
    -0.4732669897435335E+01 -0.3092695515726674E+00
     0.3854908577683740E+00  0.1735348129134877E+01
  0.1457522775470507E-04  0.2138020259753581E-03  0.3896278115080076E-04
  0.1471086868212468E-04  0.2157916071402649E-03  0.3932535776866474E-04
  0.1484777191991782E-04  0.2177997016848845E-03  0.3969130822153963E-04
  0.1498594921547894E-04  0.2198264818586942E-03  0.4006066389976706E-04
  0.1512541242552687E-04  0.2218721215134049E-03  0.4043345648567600E-04
  0.1526617351712219E-04  0.2239367961178580E-03  0.4080971795629746E-04
  0.1540824456869411E-04  0.2260206827730598E-03  0.4118948058610438E-04
  0.1555163777107691E-04  0.2281239602273567E-03  0.4157277694977710E-04
  0.1569636542855601E-04  0.2302468088917499E-03  0.4195963992499428E-04
  0.1584243995992374E-04  0.2323894108553539E-03  0.4235010269524999E-04
  0.1598987389954502E-04  0.2345519499009968E-03  0.4274419875269671E-04
  0.1613867989843288E-04  0.2367346115209673E-03  0.4314196190101506E-04
  0.1628887072533403E-04  0.2389375829329069E-03  0.4354342625830982E-04
  0.1644045926782450E-04  0.2411610530958493E-03  0.4394862626003310E-04
  0.1659345853341555E-04  0.2434052127264103E-03  0.4435759666193459E-04
  0.1674788165066974E-04  0.2456702543151267E-03  0.4477037254303917E-04
  0.1690374187032754E-04  0.2479563721429465E-03  0.4518698930865215E-04
  0.1706105256644430E-04  0.2502637622978747E-03  0.4560748269339259E-04
  0.1721982723753788E-04  0.2525926226917708E-03  0.4603188876425452E-04
  0.1738007950774691E-04  0.2549431530773038E-03  0.4646024392369685E-04
  0.1754182312799987E-04  0.2573155550650646E-03  0.4689258491276176E-04
  0.1770507197719501E-04  0.2597100321408370E-03  0.4732894881422219E-04
  0.1786984006339129E-04  0.2621267896830289E-03  0.4776937305575847E-04
  0.1803614152501038E-04  0.2645660349802659E-03  0.4821389541316455E-04
  0.1820399063204983E-04  0.2670279772491476E-03  0.4866255401358380E-04
  0.1837340178730757E-04  0.2695128276521695E-03  0.4911538733877515E-04
  0.1854438952761777E-04  0.2720207993158107E-03  0.4957243422840924E-04
  0.1871696852509825E-04  0.2745521073487897E-03  0.5003373388339539E-04
  0.1889115358840942E-04  0.2771069688604896E-03  0.5049932586923935E-04
  0.1906695966402501E-04  0.2796856029795550E-03  0.5096925011943236E-04
  0.1924440183751461E-04  0.2822882308726604E-03  0.5144354693887147E-04
  0.1942349533483807E-04  0.2849150757634543E-03  0.5192225700731174E-04
  0.1960425552365210E-04  0.2875663629516772E-03  0.5240542138285052E-04
  0.1978669791462887E-04  0.2902423198324595E-03  0.5289308150544398E-04
  0.1997083816278695E-04  0.2929431759157961E-03  0.5338527920045630E-04
  0.2015669206883470E-04  0.2956691628462038E-03  0.5388205668224190E-04
  0.2034427558052601E-04  0.2984205144225600E-03  0.5438345655776083E-04
  0.2053360479402883E-04  0.3011974666181257E-03  0.5488952183022769E-04
  0.2072469595530628E-04  0.3040002576007547E-03  0.5540029590279458E-04
  0.2091756546151072E-04  0.3068291277532903E-03  0.5591582258226800E-04
  0.2111222986239076E-04  0.3096843196941509E-03  0.5643614608286050E-04
  0.2130870586171134E-04  0.3125660782981074E-03  0.5696131102997695E-04
  0.2150701031868706E-04  0.3154746507172528E-03  0.5749136246403606E-04
  0.2170716024942884E-04  0.3184102864021662E-03  0.5802634584432732E-04
  0.2190917282840403E-04  0.3213732371232746E-03  0.5856630705290373E-04
  0.2211306538991011E-04  0.3243637569924109E-03  0.5911129239851077E-04
  0.2231885542956213E-04  0.3273821024845740E-03  0.5966134862055164E-04
  0.2252656060579396E-04  0.3304285324598897E-03  0.6021652289308942E-04
  0.2273619874137353E-04  0.3335033081857748E-03  0.6077686282888637E-04
  0.2294778782493218E-04  0.3366066933593086E-03  0.6134241648348070E-04
  0.2316134601250818E-04  0.3397389541298108E-03  0.6191323235930113E-04
  0.2337689162910474E-04  0.3429003591216287E-03  0.6248935940981960E-04
  0.2359444317026237E-04  0.3460911794571371E-03  0.6307084704374271E-04
  0.2381401930364599E-04  0.3493116887799498E-03  0.6365774512924179E-04
  0.2403563887064674E-04  0.3525621632783486E-03  0.6425010399822236E-04
  0.2425932088799876E-04  0.3558428817089274E-03  0.6484797445063326E-04
  0.2448508454941090E-04  0.3591541254204573E-03  0.6545140775881553E-04
  0.2471294922721380E-04  0.3624961783779728E-03  0.6606045567189194E-04
  0.2494293447402211E-04  0.3658693271870810E-03  0.6667517042019696E-04
  0.2517506002441228E-04  0.3692738611184963E-03  0.6729560471974800E-04
  0.2540934579661596E-04  0.3727100721328037E-03  0.6792181177675813E-04
  0.2564581189422916E-04  0.3761782549054501E-03  0.6855384529219054E-04
  0.2588447860793723E-04  0.3796787068519693E-03  0.6919175946635531E-04
  0.2612536641725605E-04  0.3832117281534393E-03  0.6983560900354890E-04
  0.2636849599228927E-04  0.3867776217821772E-03  0.7048544911673656E-04
  0.2661388819550201E-04  0.3903766935276714E-03  0.7114133553227823E-04
  0.2686156408351099E-04  0.3940092520227544E-03  0.7180332449469822E-04
  0.2711154490889141E-04  0.3976756087700189E-03  0.7247147277149916E-04
  0.2736385212200055E-04  0.4013760781684788E-03  0.7314583765802064E-04
  0.2761850737281837E-04  0.4051109775404767E-03  0.7382647698234287E-04
  0.2787553251280531E-04  0.4088806271588417E-03  0.7451344911023573E-04
  0.2813494959677725E-04  0.4126853502742990E-03  0.7520681295015390E-04
  0.2839678088479805E-04  0.4165254731431329E-03  0.7590662795827811E-04
  0.2866104884408960E-04  0.4204013250551080E-03  0.7661295414360334E-04
  0.2892777615095973E-04  0.4243132383616470E-03  0.7732585207307399E-04
  0.2919698569274795E-04  0.4282615485042719E-03  0.7804538287676682E-04
  0.2946870056978945E-04  0.4322465940433072E-03  0.7877160825312188E-04
  0.2974294409739723E-04  0.4362687166868506E-03  0.7950459047422201E-04
  0.3001973980786277E-04  0.4403282613200113E-03  0.8024439239112111E-04
  0.3029911145247529E-04  0.4444255760344202E-03  0.8099107743922205E-04
  0.3058108300355979E-04  0.4485610121580129E-03  0.8174470964370421E-04
  0.3086567865653406E-04  0.4527349242850887E-03  0.8250535362500148E-04
  0.3115292283198487E-04  0.4569476703066498E-03  0.8327307460433108E-04
  0.3144284017776343E-04  0.4611996114410196E-03  0.8404793840927343E-04
