        2000           5
      0    0    1    0    1
      2.   2.   6.   2.   1.
    -0.5850102656869849E+02 -0.4910671882903062E+01 -0.3218303257199607E+01 -0.3934203874931952E+00 -0.2099507460464788E+00
     0.5268585683780316E+00  0.3322978768365569E+01  0.4674194905646434E+01  0.7806250418365950E+01  0.9359816672456386E+01
  0.1101437787126076E-04  0.9989998892563300E-03  0.2596608994242675E-03  0.8174349617800381E-08  0.5995145521514329E-04  0.1468939497526601E-08
  0.1111688058713946E-04  0.1008295503066050E-02  0.2620770232481691E-03  0.8327197344483542E-08  0.6050929869292125E-04  0.1496406399887838E-08
  0.1122033722042369E-04  0.1017677599196321E-02  0.2645156256298807E-03  0.8482903035249537E-08  0.6107233210207951E-04  0.1524386881496271E-08
  0.1132475664852133E-04  0.1027146982004802E-02  0.2669769156387163E-03  0.8641520127151942E-08  0.6164060371330337E-04  0.1552890545048419E-08
  0.1143014783145574E-04  0.1036704463325934E-02  0.2694611042873615E-03  0.8803103056346942E-08  0.6221416224597093E-04  0.1581927172780618E-08
  0.1153651981263466E-04  0.1046350862540362E-02  0.2719684045499170E-03  0.8967707276772172E-08  0.6279305687231875E-04  0.1611506729825639E-08
  0.1164388171962615E-04  0.1056087006644986E-02  0.2744990313801070E-03  0.9135389279174752E-08  0.6337733722164630E-04  0.1641639367632043E-08
  0.1175224276494186E-04  0.1065913730323679E-02  0.2770532017296595E-03  0.9306206610495045E-08  0.6396705338455930E-04  0.1672335427447459E-08
  0.1186161224682749E-04  0.1075831876018645E-02  0.2796311345668539E-03  0.9480217893612744E-08  0.6456225591725228E-04  0.1703605443866984E-08
  0.1197199955006069E-04  0.1085842294002444E-02  0.2822330508952425E-03  0.9657482847462102E-08  0.6516299584583090E-04  0.1735460148447909E-08
  0.1208341414675632E-04  0.1095945842450682E-02  0.2848591737725437E-03  0.9838062307523190E-08  0.6576932467067434E-04  0.1767910473392018E-08
  0.1219586559717926E-04  0.1106143387515380E-02  0.2875097283297114E-03  0.1002201824669620E-07  0.6638129437083781E-04  0.1800967555296728E-08
  0.1230936355056475E-04  0.1116435803399013E-02  0.2901849417901808E-03  0.1020941379656598E-07  0.6699895740849618E-04  0.1834642738976342E-08
  0.1242391774594635E-04  0.1126823972429241E-02  0.2928850434892909E-03  0.1040031326906406E-07  0.6762236673342856E-04  0.1868947581354743E-08
  0.1253953801299165E-04  0.1137308785134332E-02  0.2956102648938895E-03  0.1059478217853561E-07  0.6825157578754440E-04  0.1903893855430856E-08
  0.1265623427284575E-04  0.1147891140319277E-02  0.2983608396221172E-03  0.1079288726421896E-07  0.6888663850945149E-04  0.1939493554318225E-08
  0.1277401653898251E-04  0.1158571945142619E-02  0.3011370034633759E-03  0.1099469651314525E-07  0.6952760933906644E-04  0.1975758895360127E-08
  0.1289289491806388E-04  0.1169352115193986E-02  0.3039389943984819E-03  0.1120027918346619E-07  0.7017454322226751E-04  0.2012702324321579E-08
  0.1301287961080704E-04  0.1180232574572343E-02  0.3067670526200054E-03  0.1140970582821798E-07  0.7082749561559071E-04  0.2050336519659744E-08
  0.1313398091285975E-04  0.1191214255964970E-02  0.3096214205527983E-03  0.1162304831952925E-07  0.7148652249096956E-04  0.2088674396874131E-08
  0.1325620921568381E-04  0.1202298100727175E-02  0.3125023428747122E-03  0.1184037987328173E-07  0.7215168034051814E-04  0.2127729112938135E-08
  0.1337957500744672E-04  0.1213485058962731E-02  0.3154100665375082E-03  0.1206177507423180E-07  0.7282302618135920E-04  0.2167514070813412E-08
  0.1350408887392160E-04  0.1224776089605074E-02  0.3183448407879595E-03  0.1228730990160161E-07  0.7350061756049613E-04  0.2208042924048633E-08
  0.1362976149939562E-04  0.1236172160499245E-02  0.3213069171891501E-03  0.1251706175514867E-07  0.7418451255973070E-04  0.2249329581464208E-08
  0.1375660366758674E-04  0.1247674248484586E-02  0.3242965496419704E-03  0.1275110948172268E-07  0.7487476980062585E-04  0.2291388211924590E-08
  0.1388462626256905E-04  0.1259283339478207E-02  0.3273139944068119E-03  0.1298953340231880E-07  0.7557144844951473E-04  0.2334233249199767E-08
  0.1401384026970671E-04  0.1271000428559226E-02  0.3303595101254615E-03  0.1323241533963665E-07  0.7627460822255577E-04  0.2377879396917647E-08
  0.1414425677659661E-04  0.1282826520053786E-02  0.3334333578432000E-03  0.1347983864615440E-07  0.7698430939083491E-04  0.2422341633609009E-08
  0.1427588697401973E-04  0.1294762627620855E-02  0.3365358010311045E-03  0.1373188823272773E-07  0.7770061278551456E-04  0.2467635217846756E-08
  0.1440874215690142E-04  0.1306809774338830E-02  0.3396671056085561E-03  0.1398865059772330E-07  0.7842357980303061E-04  0.2513775693481236E-08
  0.1454283372528060E-04  0.1318968992792931E-02  0.3428275399659572E-03  0.1425021385669681E-07  0.7915327241033738E-04  0.2560778894973428E-08
