        2000           5
      0    0    1    0    1
      2.   2.   6.   2.   3.
    -0.7996971459938078E+02 -0.7511095661320167E+01 -0.5400958637233881E+01 -0.6964158916990087E+00 -0.3917083490013182E+00
     0.5497799176636029E+00  0.3364417540602389E+01  0.4656618086906619E+01  0.8014904616338150E+01  0.9618363257003933E+01
  0.3886727401254686E-05  0.4384675139680164E-03  0.1190497764454810E-03  0.1593778391505531E-08  0.3270320121139837E-04  0.3787748753403006E-09
  0.3922898315233249E-05  0.4425477686013290E-03  0.1201576199826176E-03  0.1623580229868199E-08  0.3300752794921559E-04  0.3858575335509689E-09
  0.3959405845311420E-05  0.4466659906745501E-03  0.1212757721859073E-03  0.1653939324446444E-08  0.3331468649733442E-04  0.3930726284006983E-09
  0.3996253124127719E-05  0.4508225334387750E-03  0.1224043289677317E-03  0.1684866095100256E-08  0.3362470320306945E-04  0.4004226362570878E-09
  0.4033443313473832E-05  0.4550177534309776E-03  0.1235433871326322E-03  0.1716371156522148E-08  0.3393760465881328E-04  0.4079100797913285E-09
  0.4070979604565916E-05  0.4592520105045604E-03  0.1246930443856049E-03  0.1748465321880083E-08  0.3425341770431514E-04  0.4155375288439753E-09
  0.4108865218318428E-05  0.4635256678601878E-03  0.1258533993404721E-03  0.1781159606528498E-08  0.3457216942898049E-04  0.4233076013069046E-09
  0.4147103405620509E-05  0.4678390920769063E-03  0.1270245515283316E-03  0.1814465231788730E-08  0.3489388717419223E-04  0.4312229640217631E-09
  0.4185697447614935E-05  0.4721926531435538E-03  0.1282066014060853E-03  0.1848393628800116E-08  0.3521859853565332E-04  0.4392863336952146E-09
  0.4224650655979663E-05  0.4765867244904601E-03  0.1293996503650460E-03  0.1882956442443096E-08  0.3554633136575121E-04  0.4475004778312984E-09
  0.4263966373212004E-05  0.4810216830214423E-03  0.1306038007396243E-03  0.1918165535335669E-08  0.3587711377594417E-04  0.4558682156812214E-09
  0.4303647972915434E-05  0.4854979091460974E-03  0.1318191558160970E-03  0.1954032991904569E-08  0.3621097413916988E-04  0.4643924192109066E-09
  0.4343698860089073E-05  0.4900157868123939E-03  0.1330458198414560E-03  0.1990571122532561E-08  0.3654794109227627E-04  0.4730760140866332E-09
  0.4384122471419867E-05  0.4945757035395677E-03  0.1342838980323395E-03  0.2027792467783274E-08  0.3688804353847503E-04  0.4819219806791038E-09
  0.4424922275577479E-05  0.4991780504513218E-03  0.1355334965840468E-03  0.2065709802705028E-08  0.3723131064981795E-04  0.4909333550862855E-09
  0.4466101773511931E-05  0.5038232223093358E-03  0.1367947226796365E-03  0.2104336141215132E-08  0.3757777186969602E-04  0.5001132301753748E-09
  0.4507664498754011E-05  0.5085116175470852E-03  0.1380676844991083E-03  0.2143684740566144E-08  0.3792745691536206E-04  0.5094647566442426E-09
