        2000           5
      0    0    1    0    1
      2.   2.   6.   2.   4.
    -0.9200445017595858E+02 -0.9004289528984057E+01 -0.6682508843107740E+01 -0.8795273151555941E+00 -0.4373686643534324E+00
     0.5600758007790212E+00  0.3388930454725214E+01  0.4663200910201464E+01  0.8154460311340365E+01  0.9934165407339286E+01
  0.3230403430962607E-05  0.4020488626705278E-03  0.1110491530304204E-03  0.1339853911741589E-08  0.3223478378442844E-04  0.3411306058100241E-09
  0.3260466420350462E-05  0.4057902406171803E-03  0.1120825519291264E-03  0.1364907693918974E-08  0.3253475356494572E-04  0.3475093698058664E-09
  0.3290809183874968E-05  0.4095664331675621E-03  0.1131255669034079E-03  0.1390429950925016E-08  0.3283751465101112E-04  0.3540074088216941E-09
  0.3321434325188296E-05  0.4133777642473464E-03  0.1141782874241595E-03  0.1416429442573560E-08  0.3314309301378121E-04  0.3606269531309557E-09
  0.3352344472172891E-05  0.4172245607954680E-03  0.1152408037945629E-03  0.1442915092472056E-08  0.3345151486600464E-04  0.3673702747094154E-09
  0.3383542277166968E-05  0.4211071527921421E-03  0.1163132071578262E-03  0.1469895991084151E-08  0.3376280666426865E-04  0.3742396880148985E-09
  0.3415030417192104E-05  0.4250258732871434E-03  0.1173955895049947E-03  0.1497381398849545E-08  0.3407699511126631E-04  0.3812375507816148E-09
  0.3446811594182947E-05  0.4289810584283466E-03  0.1184880436828338E-03  0.1525380749362170E-08  0.3439410715808484E-04  0.3883662648293340E-09
  0.3478888535219064E-05  0.4329730474905333E-03  0.1195906634017861E-03  0.1553903652607809E-08  0.3471417000651523E-04  0.3956282768876901E-09
  0.3511263992758946E-05  0.4370021829044663E-03  0.1207035432440016E-03  0.1582959898262233E-08  0.3503721111138332E-04  0.4030260794358983E-09
  0.3543940744876193E-05  0.4410688102862339E-03  0.1218267786714431E-03  0.1612559459051015E-08  0.3536325818290248E-04  0.4105622115581723E-09
  0.3576921595497892E-05  0.4451732784668659E-03  0.1229604660340662E-03  0.1642712494172155E-08  0.3569233918904818E-04  0.4182392598151345E-09
  0.3610209374645216E-05  0.4493159395222265E-03  0.1241047025780760E-03  0.1673429352782706E-08  0.3602448235795460E-04  0.4260598591315207E-09
