        2000           5
      0    0    1    0    1
      2.   2.   6.   2.   6.
    -0.1186103505564120E+03 -0.1232215330921507E+02 -0.9571465560592499E+01 -0.1277353024662982E+01 -0.5910174093914152E+00
     0.5791344379856334E+00  0.3446784055084757E+01  0.4678378286266280E+01  0.8507479224879530E+01  0.1048327923135001E+02
  0.2844993454280974E-05  0.4235370042412595E-03  0.1202507642967065E-03  0.1476734337224983E-08  0.3757926435780422E-04  0.4122103896397112E-09
  0.2871469716411206E-05  0.4274783479848428E-03  0.1213697918964455E-03  0.1504347634886774E-08  0.3792896886270216E-04  0.4199182676928785E-09
  0.2898192373644855E-05  0.4314563671071737E-03  0.1224992323816494E-03  0.1532477267254209E-08  0.3828192747228554E-04  0.4277702735859854E-09
  0.2925163718999972E-05  0.4354714028478052E-03  0.1236391826371627E-03  0.1561132889055498E-08  0.3863817046379379E-04  0.4357691023056502E-09
  0.2952386066834041E-05  0.4395237996206245E-03  0.1247897404490876E-03  0.1590324335545906E-08  0.3899772839611615E-04  0.4439174992301733E-09
  0.2979861753042570E-05  0.4436139050433683E-03  0.1259510045131647E-03  0.1620061625883228E-08  0.3936063211241056E-04  0.4522182610717551E-09
  0.3007593135259527E-05  0.4477420699674144E-03  0.1271230744432306E-03  0.1650354966566371E-08  0.3972691274274698E-04  0.4606742368363308E-09
  0.3035582593059648E-05  0.4519086485078483E-03  0.1283060507797550E-03  0.1681214754938236E-08  0.4009660170677500E-04  0.4692883288013510E-09
  0.3063832528162619E-05  0.4561139980738095E-03  0.1295000349984565E-03  0.1712651582754088E-08  0.4046973071641664E-04  0.4780634935118450E-09
  0.3092345364639168E-05  0.4603584793991212E-03  0.1307051295189990E-03  0.1744676239816647E-08  0.4084633177858377E-04  0.4870027427951069E-09
  0.3121123549119063E-05  0.4646424565732021E-03  0.1319214377137678E-03  0.1777299717679143E-08  0.4122643719792095E-04  0.4961091447943532E-09
  0.3150169551001061E-05  0.4689662970722670E-03  0.1331490639167291E-03  0.1810533213417614E-08  0.4161007957957384E-04  0.5053858250217085E-09
  0.3179485862664793E-05  0.4733303717908179E-03  0.1343881134323695E-03  0.1844388133473725E-08  0.4199729183198312E-04  0.5148359674308768E-09
  0.3209074999684637E-05  0.4777350550734247E-03  0.1356386925447205E-03  0.1878876097569444E-08  0.4238810716970450E-04  0.5244628155098698E-09
  0.3238939501045571E-05  0.4821807247468050E-03  0.1369009085264659E-03  0.1914008942694911E-08  0.4278255911625496E-04  0.5342696733941668E-09
  0.3269081929361041E-05  0.4866677621521981E-03  0.1381748696481337E-03  0.1949798727170864E-08  0.4318068150698530E-04  0.5442599070006862E-09
  0.3299504871092850E-05  0.4911965521780427E-03  0.1394606851873738E-03  0.1986257734787024E-08  0.4358250849197942E-04  0.5544369451829588E-09
  0.3330210936773099E-05  0.4957674832929570E-03  0.1407584654383219E-03  0.2023398479017855E-08  0.4398807453898060E-04  0.5648042809079007E-09
  0.3361202761228193E-05  0.5003809475790248E-03  0.1420683217210498E-03  0.2061233707317147E-08  0.4439741443634493E-04  0.5753654724545878E-09
  0.3392483003804930E-05  0.5050373407653907E-03  0.1433903663911042E-03  0.2099776405492890E-08  0.4481056329602211E-04  0.5861241446354432E-09
  0.3424054348598690E-05  0.5097370622621683E-03  0.1447247128491337E-03  0.2139039802163951E-08  0.4522755655656394E-04  0.5970839900402574E-09
  0.3455919504683758E-05  0.5144805151946631E-03  0.1460714755506050E-03  0.2179037373300079E-08  0.4564842998616092E-04  0.6082487703034689E-09
