376 8
 0 0 0 0 1 1 1 2
 2 2 2 2 6 6 2 10
1.602433e-01  2.402826e+00 -1.394470e+01  4.623608e+00 -1.288016e+00 -1.397030e+01  3.465654e+00  6.893619e-01 -2.539579e+00
1.603581e-01  2.394403e+00 -1.393839e+01  4.618663e+00 -1.286521e+00 -1.395809e+01  3.458991e+00  6.879362e-01 -2.540813e+00
1.605577e-01  2.379824e+00 -1.392737e+01  4.610047e+00 -1.283916e+00 -1.393685e+01  3.447408e+00  6.854581e-01 -2.542955e+00
1.608803e-01  2.356444e+00 -1.390947e+01  4.596079e+00 -1.279693e+00 -1.390255e+01  3.428702e+00  6.814560e-01 -2.546407e+00
1.613728e-01  2.321204e+00 -1.388192e+01  4.574665e+00 -1.273221e+00 -1.385028e+01  3.400196e+00  6.753576e-01 -2.551651e+00
1.620903e-01  2.270811e+00 -1.384128e+01  4.543270e+00 -1.263736e+00 -1.377430e+01  3.358762e+00  6.664947e-01 -2.559235e+00
1.630960e-01  2.202020e+00 -1.378336e+01  4.498877e+00 -1.250334e+00 -1.366814e+01  3.300879e+00  6.541149e-01 -2.569757e+00
1.644606e-01  2.112023e+00 -1.370305e+01  4.437962e+00 -1.231958e+00 -1.352477e+01  3.222715e+00  6.374011e-01 -2.583832e+00
1.662611e-01  1.998915e+00 -1.359425e+01  4.356470e+00 -1.207400e+00 -1.333681e+01  3.120263e+00  6.155000e-01 -2.602045e+00
1.685795e-01  1.862193e+00 -1.344974e+01  4.249823e+00 -1.175303e+00 -1.309688e+01  2.989511e+00  5.875598e-01 -2.624906e+00
1.715015e-01  1.703185e+00 -1.326124e+01  4.112999e+00 -1.134186e+00 -1.279798e+01  2.826670e+00  5.527803e-01 -2.652778e+00
1.751145e-01  1.525310e+00 -1.301961e+01  3.940698e+00 -1.082498e+00 -1.243400e+01  2.628456e+00  5.104738e-01 -2.685805e+00
1.795059e-01  1.334048e+00 -1.271535e+01  3.727653e+00 -1.018710e+00 -1.200032e+01  2.392416e+00  4.601370e-01 -2.723843e+00
1.847607e-01  1.136568e+00 -1.233938e+01  3.469097e+00 -9.414647e-01 -1.149444e+01  2.117293e+00  4.015308e-01 -2.766385e+00
1.909597e-01  9.409944e-01 -1.188414e+01  3.161394e+00 -8.497569e-01 -1.091661e+01  1.803396e+00  3.347623e-01 -2.812510e+00
1.981774e-01  7.554342e-01 -1.134492e+01  2.802769e+00 -7.431602e-01 -1.027040e+01  1.452944e+00  2.603588e-01 -2.860851e+00
2.064794e-01  5.869454e-01 -1.072115e+01  2.394055e+00 -6.220491e-01 -9.563026e+00  1.070298e+00  1.793214e-01 -2.909602e+00
2.159211e-01  4.406698e-01 -1.001750e+01  1.939311e+00 -4.877849e-01 -8.805405e+00  6.620556e-01  9.314525e-02 -2.956573e+00
2.265454e-01  3.193289e-01 -9.244346e+00  1.446153e+00 -3.428167e-01 -8.011827e+00  2.369213e-01  3.791938e-03 -2.999287e+00
2.383811e-01  2.231797e-01 -8.417608e+00  9.256776e-01 -1.906584e-01 -7.199194e+00 -1.946675e-01 -8.639133e-02 -3.035130e+00
2.514418e-01  1.503972e-01 -7.557697e+00  3.919133e-01 -3.572080e-02 -6.385891e+00 -6.211491e-01 -1.748064e-01 -3.061533e+00
2.657247e-01  9.773931e-02 -6.687798e+00 -1.391831e-01  1.169941e-01 -5.590432e+00 -1.030634e+00 -2.587804e-01 -3.076169e+00
2.812096e-01  6.129588e-02 -5.831710e+00 -6.510488e-01  2.623008e-01 -4.830035e+00 -1.411793e+00 -3.357650e-01 -3.077146e+00
2.978589e-01  3.714161e-02 -5.011645e+00 -1.127964e+00  3.952807e-01 -4.119369e+00 -1.754717e+00 -4.035303e-01 -3.063164e+00
3.156174e-01  2.178703e-02 -4.246334e+00 -1.556404e+00  5.117073e-01 -3.469622e+00 -2.051636e+00 -4.603295e-01 -3.033616e+00
