376 3
 0 0 1
 2 2 6
 -3.023473e+01 -1.266050e+00 -4.430563e-01
1.287854e+00 -5.935500e-04 -5.146792e-01 -5.087487e-01
1.345437e+00 -3.650646e-04 -4.589156e-01 -4.641119e-01
1.405925e+00 -2.194076e-04 -4.067926e-01 -4.218570e-01
1.468998e+00 -1.292115e-04 -3.587410e-01 -3.822989e-01
1.534295e+00 -7.478910e-05 -3.150037e-01 -3.456396e-01
1.601419e+00 -4.268829e-05 -2.756533e-01 -3.119779e-01
1.669940e+00 -2.411632e-05 -2.406188e-01 -2.813233e-01
1.739407e+00 -1.353926e-05 -2.097164e-01 -2.536123e-01
1.809349e+00 -7.584677e-06 -1.826815e-01 -2.287252e-01
1.879292e+00 -4.254758e-06 -1.591975e-01 -2.065023e-01
1.948758e+00 -2.396318e-06 -1.389213e-01 -1.867576e-01
2.017280e+00 -1.358517e-06 -1.215036e-01 -1.692912e-01
2.084403e+00 -7.790033e-07 -1.066038e-01 -1.538989e-01
2.149701e+00 -4.556428e-07 -9.390086e-02 -1.403790e-01
2.212774e+00 -2.740851e-07 -8.309958e-02 -1.285383e-01
2.273262e+00 -1.694323e-07 -7.393420e-02 -1.181951e-01
2.330845e+00 -1.061783e-07 -6.616923e-02 -1.091817e-01
2.385251e+00 -6.640145e-08 -5.959875e-02 -1.013448e-01
2.436259e+00 -4.161823e-08 -5.404459e-02 -9.454637e-02
2.483700e+00 -2.724863e-08 -4.935391e-02 -8.866265e-02
2.527458e+00 -1.973459e-08 -4.539640e-02 -8.358368e-02
2.567472e+00 -1.586289e-08 -4.206151e-02 -7.921205e-02
2.603732e+00 -1.319183e-08 -3.925574e-02 -7.546181e-02
2.636282e+00 -1.048149e-08 -3.690011e-02 -7.225715e-02
2.665208e+00 -7.601847e-09 -3.492795e-02 -6.953128e-02
2.690643e+00 -5.014149e-09 -3.328284e-02 -6.722518e-02
2.712755e+00 -3.200862e-09 -3.191696e-02 -6.528667e-02
2.731747e+00 -2.336450e-09 -3.078956e-02 -6.366936e-02
2.747846e+00 -2.258028e-09 -2.986574e-02 -6.233186e-02
2.761300e+00 -2.620260e-09 -2.911544e-02 -6.123713e-02
2.772369e+00 -3.079341e-09 -2.851256e-02 -6.035179e-02
2.781321e+00 -3.407678e-09 -2.803430e-02 -5.964577e-02
2.788424e+00 -3.518947e-09 -2.766067e-02 -5.909185e-02
2.793940e+00 -3.432919e-09 -2.737402e-02 -5.866546e-02
2.798121e+00 -3.220942e-09 -2.715878e-02 -5.834448e-02
2.801202e+00 -2.960752e-09 -2.700125e-02 -5.810911e-02
2.803400e+00 -2.711290e-09 -2.688944e-02 -5.794182e-02
2.804909e+00 -2.505553e-09 -2.681297e-02 -5.782729e-02
2.805897e+00 -2.354316e-09 -2.676299e-02 -5.775238e-02
2.806509e+00 -2.253919e-09 -2.673211e-02 -5.770609e-02
2.806861e+00 -2.193752e-09 -2.671438e-02 -5.767950e-02
2.807044e+00 -2.161616e-09 -2.670513e-02 -5.766562e-02
2.807128e+00 -2.146766e-09 -2.670090e-02 -5.765927e-02
