376 3
 0 0 1
 2 2 3
 -1.394601e+01 -6.288419e-01 -2.210049e-01
8.115291e-01 -1.924921e-01 -1.025819e+00 -9.331262e-01
8.115295e-01 -1.924916e-01 -1.025819e+00 -9.331258e-01
8.115296e-01 -1.924916e-01 -1.025819e+00 -9.331258e-01
8.115308e-01 -1.924901e-01 -1.025818e+00 -9.331246e-01
8.115394e-01 -1.924801e-01 -1.025813e+00 -9.331170e-01
8.115709e-01 -1.924434e-01 -1.025796e+00 -9.330892e-01
8.116547e-01 -1.923457e-01 -1.025751e+00 -9.330148e-01
8.118383e-01 -1.921320e-01 -1.025652e+00 -9.328521e-01
8.121899e-01 -1.917233e-01 -1.025461e+00 -9.325405e-01
8.128014e-01 -1.910146e-01 -1.025128e+00 -9.319986e-01
8.137899e-01 -1.898745e-01 -1.024588e+00 -9.311227e-01
8.152987e-01 -1.881477e-01 -1.023758e+00 -9.297861e-01
8.174968e-01 -1.856605e-01 -1.022536e+00 -9.278396e-01
8.205780e-01 -1.822299e-01 -1.020799e+00 -9.251126e-01
8.247587e-01 -1.776776e-01 -1.018397e+00 -9.214156e-01
8.302747e-01 -1.718471e-01 -1.015150e+00 -9.165434e-01
8.373776e-01 -1.646236e-01 -1.010845e+00 -9.102800e-01
8.463297e-01 -1.559558e-01 -1.005230e+00 -9.024047e-01
8.573988e-01 -1.458741e-01 -9.980156e-01 -8.926991e-01
8.708525e-01 -1.345040e-01 -9.888737e-01 -8.809560e-01
8.869516e-01 -1.220702e-01 -9.774505e-01 -8.669903e-01
9.059434e-01 -1.088876e-01 -9.633801e-01 -8.506500e-01
9.280559e-01 -9.534060e-02 -9.463096e-01 -8.318292e-01
9.534907e-01 -8.185012e-02 -9.259290e-01 -8.104797e-01
9.824170e-01 -6.883440e-02 -9.020067e-01 -7.866225e-01
1.014966e+00 -5.666888e-02 -8.744235e-01 -7.603555e-01
1.051227e+00 -4.565220e-02 -8.432014e-01 -7.318580e-01
1.091241e+00 -3.598392e-02 -8.085222e-01 -7.013888e-01
1.134999e+00 -2.775678e-02 -7.707306e-01 -6.692788e-01
1.182440e+00 -2.096352e-02 -7.303224e-01 -6.359175e-01
1.233448e+00 -1.551499e-02 -6.879157e-01 -6.017351e-01
1.287854e+00 -1.126478e-02 -6.442124e-01 -5.671806e-01
1.345437e+00 -8.035229e-03 -5.999516e-01 -5.327006e-01
1.405925e+00 -5.640503e-03 -5.558634e-01 -4.987178e-01
1.468998e+00 -3.904177e-03 -5.126273e-01 -4.656142e-01
1.534295e+00 -2.670396e-03 -4.708391e-01 -4.337177e-01
1.601419e+00 -1.809173e-03 -4.309897e-01 -4.032950e-01
1.669940e+00 -1.217122e-03 -3.934540e-01 -3.745481e-01
1.739407e+00 -8.152253e-04 -3.584906e-01 -3.476167e-01
1.809349e+00 -5.451029e-04 -3.262498e-01 -3.225819e-01
1.879292e+00 -3.648422e-04 -2.967864e-01 -2.994744e-01
1.948758e+00 -2.450791e-04 -2.700760e-01 -2.782818e-01
2.017280e+00 -1.656547e-04 -2.460323e-01 -2.589575e-01
2.084403e+00 -1.129518e-04 -2.245240e-01 -2.414292e-01
2.149701e+00 -7.788139e-05 -2.053890e-01 -2.256060e-01
2.212774e+00 -5.442546e-05 -1.884477e-01 -2.113850e-01
2.273262e+00 -3.862176e-05 -1.735129e-01 -1.986565e-01
2.330845e+00 -2.787336e-05 -1.603980e-01 -1.873087e-01
2.385251e+00 -2.048442e-05 -1.489221e-01 -1.772304e-01
2.436259e+00 -1.534819e-05 -1.389141e-01 -1.683137e-01
2.483700e+00 -1.173834e-05 -1.302150e-01 -1.604557e-01
2.527458e+00 -9.172411e-06 -1.226792e-01 -1.535589e-01
2.567472e+00 -7.325550e-06 -1.161743e-01 -1.475324e-01
2.603732e+00 -5.977439e-06 -1.105810e-01 -1.422916e-01
2.636282e+00 -4.979014e-06 -1.057926e-01 -1.377585e-01
2.665208e+00 -4.230093e-06 -1.017136e-01 -1.338606e-01
2.690643e+00 -3.663247e-06 -9.825868e-02 -1.305316e-01
2.712755e+00 -3.232135e-06 -9.535180e-02 -1.277099e-01
2.731747e+00 -2.903646e-06 -9.292481e-02 -1.253390e-01
2.747846e+00 -2.653160e-06 -9.091660e-02 -1.233663e-01
2.761300e+00 -2.461965e-06 -8.927216e-02 -1.217435e-01
2.772369e+00 -2.315858e-06 -8.794183e-02 -1.204255e-01
2.781321e+00 -2.204205e-06 -8.688065e-02 -1.193709e-01
2.788424e+00 -2.119152e-06 -8.604793e-02 -1.185412e-01
2.793940e+00 -2.054886e-06 -8.540683e-02 -1.179012e-01
2.798121e+00 -2.007014e-06 -8.492417e-02 -1.174185e-01
2.801202e+00 -1.972094e-06 -8.457021e-02 -1.170642e-01
2.803400e+00 -1.947329e-06 -8.431861e-02 -1.168121e-01
2.804909e+00 -1.930385e-06 -8.414636e-02 -1.166394e-01
2.805897e+00 -1.919303e-06 -8.403369e-02 -1.165264e-01
2.806509e+00 -1.912454e-06 -8.396407e-02 -1.164566e-01
2.806861e+00 -1.908518e-06 -8.392407e-02 -1.164165e-01
2.807044e+00 -1.906463e-06 -8.390320e-02 -1.163955e-01
2.807128e+00 -1.905525e-06 -8.389366e-02 -1.163860e-01
2.807159e+00 -1.905172e-06 -8.389008e-02 -1.163824e-01
2.807168e+00 -1.905077e-06 -8.388911e-02 -1.163814e-01
2.807169e+00 -1.905063e-06 -8.388896e-02 -1.163812e-01
2.807169e+00 -1.905061e-06 -8.388894e-02 -1.163812e-01
2.807174e+00 -1.905014e-06 -8.388844e-02 -1.163807e-01
2.807204e+00 -1.904697e-06 -8.388505e-02 -1.163773e-01
2.807313e+00 -1.903533e-06 -8.387257e-02 -1.163648e-01
2.807606e+00 -1.900432e-06 -8.383931e-02 -1.163314e-01
2.808246e+00 -1.893665e-06 -8.376658e-02 -1.162584e-01
2.809473e+00 -1.880768e-06 -8.362745e-02 -1.161187e-01
2.811606e+00 -1.858543e-06 -8.338603e-02 -1.158762e-01
2.815055e+00 -1.823156e-06 -8.299724e-02 -1.154853e-01
2.820318e+00 -1.770415e-06 -8.240739e-02 -1.148914e-01
2.827987e+00 -1.696247e-06 -8.155565e-02 -1.140320e-01
2.838736e+00 -1.597393e-06 -8.037675e-02 -1.128391e-01
2.853321e+00 -1.472272e-06 -7.880478e-02 -1.112418e-01
2.872564e+00 -1.321858e-06 -7.677835e-02 -1.091715e-01
2.897343e+00 -1.150348e-06 -7.424667e-02 -1.065665e-01
2.928573e+00 -9.653025e-07 -7.117623e-02 -1.033781e-01
2.967189e+00 -7.769994e-07 -6.755728e-02 -9.957666e-02
3.014123e+00 -5.969519e-07 -6.340928e-02 -9.515724e-02
3.070287e+00 -4.358174e-07 -5.878412e-02 -9.014360e-02
3.136542e+00 -3.012936e-07 -5.376625e-02 -8.459035e-02
3.213683e+00 -1.967332e-07 -4.846915e-02 -7.858223e-02
3.302415e+00 -1.210255e-07 -4.302804e-02 -7.223046e-02
3.403327e+00 -6.977483e-08 -3.758950e-02 -6.566621e-02
3.516879e+00 -3.719406e-08 -3.229937e-02 -5.903191e-02
3.643378e+00 -1.781851e-08 -2.729051e-02 -5.247129e-02
3.782971e+00 -7.362494e-09 -2.267242e-02 -4.611956e-02
3.935625e+00 -2.666675e-09 -1.852410e-02 -4.009481e-02
4.101127e+00 -1.260035e-09 -1.489090e-02 -3.449157e-02
4.279073e+00 -1.145980e-09 -1.178549e-02 -2.937721e-02
4.468875e+00 -9.906552e-10 -9.192178e-03 -2.479113e-02
4.669759e+00 -3.726875e-10 -7.073484e-03 -2.074651e-02
4.880776e+00  3.526832e-10 -5.377524e-03 -1.723393e-02
5.100813e+00  6.301746e-10 -4.045164e-03 -1.422615e-02
5.328610e+00  3.022121e-10 -3.016033e-03 -1.168331e-02
5.562778e+00 -2.530474e-10 -2.232967e-03 -9.557872e-03
5.801821e+00 -5.052842e-10 -1.644829e-03 -7.798954e-03
6.044160e+00 -2.649283e-10 -1.207897e-03 -6.355749e-03
6.288163e+00  1.864155e-10 -8.861460e-04 -5.180022e-03
6.532165e+00  4.111537e-10 -6.507942e-04 -4.227711e-03
6.774505e+00  2.335084e-10 -4.794349e-04 -3.459782e-03
7.013547e+00 -1.362802e-10 -3.549960e-04 -2.842507e-03
7.247715e+00 -3.434725e-10 -2.646980e-04 -2.347329e-03
7.475513e+00 -2.239874e-10 -1.991076e-04 -1.950476e-03
7.695550e+00  7.983357e-11 -1.513379e-04 -1.632425e-03
7.906566e+00  2.874211e-10 -1.164029e-04 -1.377320e-03
8.107450e+00  2.370667e-10 -9.071594e-05 -1.172401e-03
8.297252e+00 -9.638248e-13 -7.170822e-05 -1.007468e-03
8.475199e+00 -2.192443e-10 -5.754366e-05 -8.744106e-04
8.640700e+00 -2.564032e-10 -4.690929e-05 -7.668023e-04
8.793354e+00 -1.075759e-10 -3.886369e-05 -6.795620e-04
8.932947e+00  1.028129e-10 -3.272917e-05 -6.086755e-04
9.059447e+00  2.316169e-10 -2.801609e-05 -5.509705e-04
9.172998e+00  2.125045e-10 -2.436936e-05 -5.039369e-04
9.273910e+00  7.790624e-11 -2.153041e-05 -4.655834e-04
9.362642e+00 -8.420319e-11 -1.930971e-05 -4.343247e-04
9.439784e+00 -1.920487e-10 -1.756707e-05 -4.088919e-04
9.506039e+00 -2.089990e-10 -1.619754e-05 -3.882632e-04
9.562202e+00 -1.468097e-10 -1.512159e-05 -3.716094e-04
9.609136e+00 -4.483640e-11 -1.427823e-05 -3.582519e-04
9.647752e+00  5.532132e-11 -1.362018e-05 -3.476295e-04
9.678982e+00  1.262567e-10 -1.311040e-05 -3.392740e-04
9.703762e+00  1.589411e-10 -1.271951e-05 -3.327902e-04
9.723005e+00  1.583513e-10 -1.242390e-05 -3.278421e-04
9.737589e+00  1.361453e-10 -1.220433e-05 -3.241419e-04
9.748339e+00  1.044695e-10 -1.204490e-05 -3.214419e-04
9.756007e+00  7.249989e-11 -1.193237e-05 -3.195298e-04
9.761270e+00  4.549826e-11 -1.185571e-05 -3.182241e-04
9.764719e+00  2.539947e-11 -1.180573e-05 -3.173715e-04
9.766852e+00  1.196475e-11 -1.177492e-05 -3.168452e-04
9.768079e+00  3.882768e-12 -1.175723e-05 -3.165431e-04
9.768719e+00 -4.425862e-13 -1.174801e-05 -3.163854e-04
9.769012e+00 -2.443275e-12 -1.174380e-05 -3.163134e-04
9.769122e+00 -3.197768e-12 -1.174222e-05 -3.162864e-04
9.769151e+00 -3.403383e-12 -1.174179e-05 -3.162791e-04
9.769156e+00 -3.433745e-12 -1.174172e-05 -3.162780e-04
9.769157e+00 -3.434720e-12 -1.174171e-05 -3.162778e-04
9.769176e+00 -3.434505e-12 -1.174144e-05 -3.162731e-04
9.769305e+00 -3.433049e-12 -1.173959e-05 -3.162412e-04
9.769782e+00 -3.427699e-12 -1.173278e-05 -3.161240e-04
9.771053e+00 -3.413468e-12 -1.171466e-05 -3.158118e-04
9.773833e+00 -3.382475e-12 -1.167509e-05 -3.151296e-04
9.779159e+00 -3.323689e-12 -1.159967e-05 -3.138272e-04
9.788423e+00 -3.223231e-12 -1.146964e-05 -3.115750e-04
9.803397e+00 -3.065531e-12 -1.126249e-05 -3.079688e-04
9.826253e+00 -2.835708e-12 -1.095343e-05 -3.025465e-04
9.859551e+00 -2.523365e-12 -1.051815e-05 -2.948202e-04
9.906227e+00 -2.127552e-12 -9.936726e-06 -2.843267e-04
9.969557e+00 -1.661950e-12 -9.198518e-06 -2.706934e-04
1.005312e+01 -1.158355e-12 -8.307303e-06 -2.537172e-04
1.016071e+01 -6.658477e-13 -7.285234e-06 -2.334415e-04
