376 5
 0 0 0 1 1
 2 2 2 6 5
 -1.002866e+02 -9.125222e+00 -7.064384e-01 -6.976378e+00 -2.745678e-01
1.608803e-01 -9.483131e+00 -2.839424e+00  1.027272e+00 -7.076461e+00  1.915217e+00
1.613728e-01 -9.407870e+00 -2.867401e+00  1.036056e+00 -7.072769e+00  1.913557e+00
1.620903e-01 -9.299307e+00 -2.907709e+00  1.048698e+00 -7.067294e+00  1.911109e+00
1.630960e-01 -9.149263e+00 -2.963322e+00  1.066110e+00 -7.059428e+00  1.907617e+00
1.644606e-01 -8.949597e+00 -3.037142e+00  1.089169e+00 -7.048405e+00  1.902771e+00
1.662611e-01 -8.692896e+00 -3.131710e+00  1.118611e+00 -7.033258e+00  1.896189e+00
1.685795e-01 -8.373308e+00 -3.248854e+00  1.154917e+00 -7.012776e+00  1.887409e+00
1.715015e-01 -7.987416e+00 -3.389302e+00  1.198178e+00 -6.985461e+00  1.875875e+00
1.751145e-01 -7.535080e+00 -3.552304e+00  1.247961e+00 -6.949494e+00  1.860926e+00
1.795059e-01 -7.020077e+00 -3.735307e+00  1.303204e+00 -6.902728e+00  1.841802e+00
1.847607e-01 -6.450422e+00 -3.933762e+00  1.362143e+00 -6.842724e+00  1.817646e+00
1.909597e-01 -5.838238e+00 -4.141107e+00  1.422306e+00 -6.766832e+00  1.787537e+00
1.981774e-01 -5.199104e+00 -4.348977e+00  1.480585e+00 -6.672331e+00  1.750535e+00
2.064794e-01 -4.550921e+00 -4.547666e+00  1.533400e+00 -6.556629e+00  1.705742e+00
2.159211e-01 -3.912408e+00 -4.726805e+00  1.576931e+00 -6.417502e+00  1.652381e+00
2.265454e-01 -3.301449e+00 -4.876188e+00  1.607421e+00 -6.253351e+00  1.589880e+00
2.383811e-01 -2.733529e+00 -4.986667e+00  1.621500e+00 -6.063439e+00  1.517953e+00
2.514418e-01 -2.220519e+00 -5.050969e+00  1.616484e+00 -5.848076e+00  1.436664e+00
2.657247e-01 -1.769970e+00 -5.064343e+00  1.590631e+00 -5.608720e+00  1.346467e+00
2.812096e-01 -1.384988e+00 -5.024933e+00  1.543296e+00 -5.347964e+00  1.248211e+00
2.978589e-01 -1.064640e+00 -4.933841e+00  1.474976e+00 -5.069415e+00  1.143112e+00
3.156174e-01 -8.047520e-01 -4.794886e+00  1.387241e+00 -4.777476e+00  1.032684e+00
3.344127e-01 -5.989125e-01 -4.614116e+00  1.282575e+00 -4.477055e+00  9.186561e-01
3.541562e-01 -4.394917e-01 -4.399153e+00  1.164138e+00 -4.173249e+00  8.028636e-01
3.747436e-01 -3.185399e-01 -4.158475e+00  1.035496e+00 -3.871031e+00  6.871451e-01
3.960570e-01 -2.284685e-01 -3.900734e+00  9.003530e-01 -3.574982e+00  5.732443e-01
4.179666e-01 -1.624926e-01 -3.634171e+00  7.623044e-01 -3.289088e+00  4.627302e-01
4.403322e-01 -1.148522e-01 -3.366174e+00  6.246452e-01 -3.016606e+00  3.569396e-01
4.630064e-01 -8.086125e-02 -3.103003e+00  4.902293e-01 -2.760015e+00  2.569419e-01
4.858360e-01 -5.684037e-02 -2.849653e+00  3.613893e-01 -2.521017e+00  1.635276e-01
5.086657e-01 -3.998654e-02 -2.609851e+00  2.399078e-01 -2.300593e+00  7.721410e-02
5.313398e-01 -2.821789e-02 -2.386140e+00  1.270317e-01 -2.099100e+00 -1.732839e-03
5.537055e-01 -2.002071e-02 -2.180026e+00  2.351769e-02 -1.916367e+00 -7.326817e-02
5.756150e-01 -1.431326e-02 -1.992151e+00 -7.030245e-02 -1.751818e+00 -1.375307e-01
5.969285e-01 -1.033271e-02 -1.822476e+00 -1.544460e-01 -1.604572e+00 -1.948041e-01
6.175159e-01 -7.546537e-03 -1.670457e+00 -2.292020e-01 -1.473546e+00 -2.454795e-01
6.372593e-01 -5.585724e-03 -1.535197e+00 -2.950579e-01 -1.357537e+00 -2.900202e-01
6.560547e-01 -4.196038e-03 -1.415575e+00 -3.526344e-01 -1.255285e+00 -3.289318e-01
6.738132e-01 -3.203026e-03 -1.310346e+00 -4.026297e-01 -1.165533e+00 -3.627367e-01
6.904625e-01 -2.487133e-03 -1.218225e+00 -4.457753e-01 -1.087057e+00 -3.919544e-01
7.059474e-01 -1.966223e-03 -1.137939e+00 -4.828012e-01 -1.018699e+00 -4.170868e-01
7.202302e-01 -1.583533e-03 -1.068268e+00 -5.144118e-01 -9.593769e-01 -4.386069e-01
7.332910e-01 -1.299555e-03 -1.008066e+00 -5.412683e-01 -9.080968e-01 -4.569532e-01
7.451267e-01 -1.086650e-03 -9.562764e-01 -5.639793e-01 -8.639530e-01 -4.725254e-01
7.557510e-01 -9.254315e-04 -9.119350e-01 -5.830952e-01 -8.261267e-01 -4.856834e-01
7.651927e-01 -8.022724e-04 -8.741693e-01 -5.991080e-01 -7.938806e-01 -4.967485e-01
7.734947e-01 -7.075367e-04 -8.421935e-01 -6.124521e-01 -7.665528e-01 -5.060048e-01
7.807123e-01 -6.343196e-04 -8.153020e-01 -6.235087e-01 -7.435494e-01 -5.137023e-01
7.869114e-01 -5.775795e-04 -7.928611e-01 -6.326102e-01 -7.243368e-01 -5.200602e-01
7.921662e-01 -5.335640e-04 -7.743017e-01 -6.400457e-01 -7.084350e-01 -5.252702e-01
7.965576e-01 -4.994391e-04 -7.591113e-01 -6.460660e-01 -6.954110e-01 -5.295002e-01
8.001706e-01 -4.730466e-04 -7.468277e-01 -6.508893e-01 -6.848730e-01 -5.328971e-01
8.030926e-01 -4.527337e-04 -7.370331e-01 -6.547052e-01 -6.764660e-01 -5.355899e-01
8.054110e-01 -4.372261e-04 -7.293495e-01 -6.576795e-01 -6.698683e-01 -5.376923e-01
8.072115e-01 -4.255286e-04 -7.234356e-01 -6.599570e-01 -6.647886e-01 -5.393043e-01
8.085761e-01 -4.168508e-04 -7.189840e-01 -6.616644e-01 -6.609639e-01 -5.405141e-01
8.095818e-01 -4.105526e-04 -7.157200e-01 -6.629125e-01 -6.581591e-01 -5.413991e-01
8.102992e-01 -4.061076e-04 -7.134002e-01 -6.637976e-01 -6.561653e-01 -5.420270e-01
8.107917e-01 -4.030788e-04 -7.118121e-01 -6.644025e-01 -6.548002e-01 -5.424564e-01
8.111144e-01 -4.011038e-04 -7.107734e-01 -6.647978e-01 -6.539074e-01 -5.427371e-01
8.113140e-01 -3.998858e-04 -7.101317e-01 -6.650418e-01 -6.533557e-01 -5.429104e-01
8.114287e-01 -3.991868e-04 -7.097629e-01 -6.651820e-01 -6.530387e-01 -5.430099e-01
8.114887e-01 -3.988222e-04 -7.095705e-01 -6.652551e-01 -6.528733e-01 -5.430618e-01
8.115160e-01 -3.986557e-04 -7.094825e-01 -6.652885e-01 -6.527977e-01 -5.430856e-01
8.115263e-01 -3.985932e-04 -7.094496e-01 -6.653011e-01 -6.527693e-01 -5.430945e-01
8.115291e-01 -3.985762e-04 -7.094406e-01 -6.653045e-01 -6.527616e-01 -5.430969e-01
8.115295e-01 -3.985737e-04 -7.094393e-01 -6.653050e-01 -6.527605e-01 -5.430973e-01
8.115296e-01 -3.985734e-04 -7.094391e-01 -6.653050e-01 -6.527603e-01 -5.430973e-01
8.115308e-01 -3.985658e-04 -7.094350e-01 -6.653066e-01 -6.527568e-01 -5.430984e-01
8.115394e-01 -3.985145e-04 -7.094075e-01 -6.653170e-01 -6.527332e-01 -5.431058e-01
8.115709e-01 -3.983257e-04 -7.093065e-01 -6.653554e-01 -6.526464e-01 -5.431331e-01
8.116547e-01 -3.978230e-04 -7.090373e-01 -6.654577e-01 -6.524149e-01 -5.432057e-01
8.118383e-01 -3.967250e-04 -7.084484e-01 -6.656813e-01 -6.519086e-01 -5.433646e-01
8.121899e-01 -3.946304e-04 -7.073218e-01 -6.661088e-01 -6.509401e-01 -5.436683e-01
8.128014e-01 -3.910137e-04 -7.053666e-01 -6.668498e-01 -6.492589e-01 -5.441950e-01
8.137899e-01 -3.852366e-04 -7.022166e-01 -6.680410e-01 -6.465502e-01 -5.450421e-01
8.152987e-01 -3.765828e-04 -6.974350e-01 -6.698431e-01 -6.424374e-01 -5.463248e-01
8.174968e-01 -3.643213e-04 -6.905249e-01 -6.724344e-01 -6.364920e-01 -5.481715e-01
8.205780e-01 -3.478016e-04 -6.809494e-01 -6.759988e-01 -6.282497e-01 -5.507168e-01
8.247587e-01 -3.265765e-04 -6.681613e-01 -6.807098e-01 -6.172349e-01 -5.540900e-01
8.302747e-01 -3.005393e-04 -6.516424e-01 -6.867082e-01 -6.029942e-01 -5.584014e-01
8.373776e-01 -2.700455e-04 -6.309509e-01 -6.940752e-01 -5.851355e-01 -5.637244e-01
8.463297e-01 -2.359840e-04 -6.057755e-01 -7.028027e-01 -5.633728e-01 -5.700758e-01
8.573988e-01 -1.997580e-04 -5.759884e-01 -7.127622e-01 -5.375711e-01 -5.773957e-01
8.708525e-01 -1.631508e-04 -5.416931e-01 -7.236792e-01 -5.077866e-01 -5.855297e-01
8.869516e-01 -1.280845e-04 -5.032573e-01 -7.351149e-01 -4.742946e-01 -5.942160e-01
9.059434e-01 -9.631658e-05 -4.613224e-01 -7.464628e-01 -4.376001e-01 -6.030814e-01
9.280559e-01 -6.915470e-05 -4.167853e-01 -7.569639e-01 -3.984246e-01 -6.116486e-01
9.534907e-01 -4.727315e-05 -3.707479e-01 -7.657429e-01 -3.576689e-01 -6.193556e-01
9.824170e-01 -3.068437e-05 -3.244381e-01 -7.718662e-01 -3.163520e-01 -6.255892e-01
1.014966e+00 -1.886138e-05 -2.791114e-01 -7.744159e-01 -2.755339e-01 -6.297285e-01
1.051227e+00 -1.095152e-05 -2.359453e-01 -7.725730e-01 -2.362314e-01 -6.311950e-01
1.091241e+00 -5.998586e-06 -1.959427e-01 -7.656993e-01 -1.993391e-01 -6.295038e-01
1.134999e+00 -3.109454e-06 -1.598584e-01 -7.534050e-01 -1.655658e-01 -6.243080e-01
1.182440e+00 -1.544942e-06 -1.281596e-01 -7.355933e-01 -1.353959e-01 -6.154317e-01
1.233448e+00 -7.513153e-07 -1.010216e-01 -7.124730e-01 -1.090770e-01 -6.028859e-01
1.287854e+00 -3.577793e-07 -7.835778e-02 -6.845397e-01 -8.663517e-02 -5.868656e-01
1.345437e+00 -1.530407e-07 -5.987256e-02 -6.525265e-01 -6.790917e-02 -5.677297e-01
1.405925e+00 -4.296632e-08 -4.512665e-02 -6.173348e-01 -5.259810e-02 -5.459659e-01
1.468998e+00  4.111247e-09 -3.360313e-02 -5.799548e-01 -4.031247e-02 -5.221476e-01
1.534295e+00  5.743428e-09 -2.476494e-02 -5.413865e-01 -3.062189e-02 -4.968877e-01
1.601419e+00 -1.230858e-08 -1.809883e-02 -5.025726e-01 -2.309440e-02 -4.707960e-01
1.669940e+00 -2.254385e-08 -1.314386e-02 -4.643465e-01 -1.732495e-02 -4.444438e-01
1.739407e+00 -1.309663e-08 -9.506087e-03 -4.274006e-01 -1.295307e-02 -4.183378e-01
1.809349e+00  6.417180e-09 -6.862149e-03 -3.922719e-01 -9.671040e-03 -3.929047e-01
1.879292e+00  1.750283e-08 -4.955397e-03 -3.593439e-01 -7.225080e-03 -3.684846e-01
1.948758e+00  1.126362e-08 -3.587796e-03 -3.288586e-01 -5.411788e-03 -3.453319e-01
2.017280e+00 -4.542835e-09 -2.610086e-03 -3.009362e-01 -4.071962e-03 -3.236224e-01
2.084403e+00 -1.461475e-08 -1.911917e-03 -2.755978e-01 -3.083412e-03 -3.034624e-01
2.149701e+00 -1.072077e-08 -1.412954e-03 -2.527883e-01 -2.353837e-03 -2.849005e-01
2.212774e+00  2.122425e-09 -1.055411e-03 -2.323979e-01 -1.814386e-03 -2.679390e-01
2.273262e+00  1.194637e-08 -7.980995e-04 -2.142803e-01 -1.414199e-03 -2.525449e-01
2.330845e+00  1.096544e-08 -6.118549e-04 -1.982679e-01 -1.115984e-03 -2.386596e-01
2.385251e+00  1.256030e-09 -4.761177e-04 -1.841835e-01 -8.925387e-04 -2.262066e-01
2.436259e+00 -8.583203e-09 -3.764247e-04 -1.718489e-01 -7.240755e-04 -2.150986e-01
2.483700e+00 -1.119464e-08 -3.025982e-04 -1.610914e-01 -5.962175e-04 -2.052422e-01
