376 6
 0 0 0 0 1 1
 2 2 2 2 6 6
 -1.438486e+02 -1.498114e+01 -1.655845e+00 -1.113595e-01 -1.221829e+01 -9.813918e-01
8.205780e-01  4.365125e-05  3.919392e-01  1.146984e+00  2.926233e-01 -3.623114e-01 -1.034296e+00
8.247587e-01  4.051279e-05  3.825791e-01  1.146502e+00  2.916014e-01 -3.541695e-01 -1.033816e+00
8.302747e-01  3.671169e-05  3.705641e-01  1.145633e+00  2.901839e-01 -3.437044e-01 -1.033018e+00
8.373776e-01  3.233438e-05  3.556367e-01  1.144138e+00  2.882468e-01 -3.306803e-01 -1.031722e+00
8.463297e-01  2.755023e-05  3.376618e-01  1.141675e+00  2.856337e-01 -3.149621e-01 -1.029677e+00
8.573988e-01  2.260057e-05  3.166668e-01  1.137787e+00  2.821531e-01 -2.965506e-01 -1.026544e+00
8.708525e-01  1.776797e-05  2.928720e-01  1.131892e+00  2.775773e-01 -2.756091e-01 -1.021896e+00
8.869516e-01  1.332956e-05  2.667043e-01  1.123290e+00  2.716473e-01 -2.524767e-01 -1.015217e+00
9.059434e-01  9.506376e-06  2.387864e-01  1.111198e+00  2.640841e-01 -2.276626e-01 -1.005923e+00
9.280559e-01  6.424457e-06  2.099009e-01  1.094795e+00  2.546067e-01 -2.018188e-01 -9.933964e-01
9.534907e-01  4.101633e-06  1.809281e-01  1.073298e+00  2.429573e-01 -1.756918e-01 -9.770329e-01
9.824170e-01  2.463961e-06  1.527669e-01  1.046052e+00  2.289312e-01 -1.500585e-01 -9.563046e-01
1.014966e+00  1.383095e-06  1.262487e-01  1.012619e+00  2.124083e-01 -1.256557e-01 -9.308237e-01
1.051227e+00  7.172398e-07  1.020604e-01  9.728601e-01  1.933802e-01 -1.031137e-01 -9.004029e-01
1.091241e+00  3.396457e-07  8.068720e-02  9.269885e-01  1.719692e-01 -8.290513e-02 -8.650984e-01
1.134999e+00  1.489839e-07  6.238668e-02  8.755878e-01  1.484344e-01 -6.531617e-02 -8.252301e-01
1.182440e+00  6.761525e-08  4.719387e-02  8.195824e-01  1.231629e-01 -5.044402e-02 -7.813721e-01
1.233448e+00  3.818550e-08  3.495423e-02  7.601694e-01  9.664644e-02 -3.821698e-02 -7.343155e-01
1.287854e+00  2.387582e-08  2.537432e-02  6.987188e-01  6.944634e-02 -2.843152e-02 -6.850074e-01
1.345437e+00  9.242299e-09  1.807886e-02  6.366598e-01  4.215246e-02 -2.079727e-02 -6.344767e-01
1.405925e+00 -4.382680e-09  1.266375e-02  5.753694e-01  1.534112e-02 -1.498160e-02 -5.837580e-01
1.468998e+00 -9.832050e-09  8.738180e-03  5.160777e-01 -1.046237e-02 -1.064744e-02 -5.338215e-01
1.534295e+00 -5.005274e-09  5.952571e-03  4.598011e-01 -3.481267e-02 -7.480841e-03 -4.855187e-01
1.601419e+00  3.932703e-09  4.012925e-03  4.073055e-01 -5.736293e-02 -5.207588e-03 -4.395462e-01
1.669940e+00  8.230819e-09  2.684191e-03  3.590995e-01 -7.787250e-02 -3.600228e-03 -3.964290e-01
1.739407e+00  4.514007e-09  1.786247e-03  3.154499e-01 -9.620503e-02 -2.478013e-03 -3.565200e-01
1.809349e+00 -2.851572e-09  1.185925e-03  2.764148e-01 -1.123192e-01 -1.702386e-03 -3.200130e-01
1.879292e+00 -6.708096e-09  7.877290e-04  2.418845e-01 -1.262544e-01 -1.170309e-03 -2.869646e-01
1.948758e+00 -3.984166e-09  5.249233e-04  2.116256e-01 -1.381137e-01 -8.070988e-04 -2.573194e-01
2.017280e+00  2.055017e-09  3.518701e-04  1.853218e-01 -1.480465e-01 -5.597665e-04 -2.309381e-01
2.084403e+00  5.598445e-09  2.378934e-04  1.626100e-01 -1.562322e-01 -3.913578e-04 -2.076219e-01
2.149701e+00  3.806121e-09  1.626341e-04  1.431084e-01 -1.628661e-01 -2.764447e-04 -1.871358e-01
2.212774e+00 -1.136811e-09  1.126949e-04  1.264391e-01 -1.681474e-01 -1.977032e-04 -1.692262e-01
2.273262e+00 -4.650569e-09  7.931171e-05  1.122420e-01 -1.722707e-01 -1.434136e-04 -1.536359e-01
2.330845e+00 -3.979773e-09  5.677976e-05  1.001849e-01 -1.754194e-01 -1.056870e-04 -1.401143e-01
2.385251e+00 -1.514980e-10  4.140258e-05  8.996835e-02 -1.777619e-01 -7.922856e-05 -1.284242e-01
2.436259e+00  3.480669e-09  3.078822e-05  8.132702e-02 -1.794488e-01 -6.048632e-05 -1.183466e-01
2.483700e+00  4.220667e-09  2.338002e-05  7.402933e-02 -1.806127e-01 -4.707021e-05 -1.096826e-01
2.527458e+00  1.894345e-09  1.815088e-05  6.787530e-02 -1.813676e-01 -3.736196e-05 -1.022538e-01
2.567472e+00 -1.526615e-09  1.441226e-05  6.269363e-02 -1.818104e-01 -3.025741e-05 -9.590211e-02
2.603732e+00 -3.701674e-09  1.169897e-05  5.833849e-02 -1.820214e-01 -2.499822e-05 -9.048814e-02
2.636282e+00 -3.498548e-09  9.698223e-06  5.468616e-02 -1.820668e-01 -2.106132e-05 -8.588986e-02
2.665208e+00 -1.389408e-09  8.202137e-06  5.163192e-02 -1.819993e-01 -1.808455e-05 -8.200057e-02
2.690643e+00  1.224479e-09  7.072819e-06  4.908712e-02 -1.818605e-01 -1.581538e-05 -7.872715e-02
2.712755e+00  3.011448e-09  6.216693e-06  4.697655e-02 -1.816824e-01 -1.407538e-05 -7.598819e-02
2.731747e+00  3.353590e-09  5.567151e-06  4.523624e-02 -1.814883e-01 -1.273606e-05 -7.371237e-02
2.747846e+00  2.414944e-09  5.074364e-06  4.381150e-02 -1.812953e-01 -1.170312e-05 -7.183698e-02
2.761300e+00  8.148015e-10  4.700095e-06  4.265527e-02 -1.811144e-01 -1.090621e-05 -7.030661e-02
2.772369e+00 -7.802506e-10  4.415161e-06  4.172686e-02 -1.809526e-01 -1.029239e-05 -6.907212e-02
2.781321e+00 -1.924790e-09  4.197806e-06  4.099079e-02 -1.808134e-01 -9.821541e-06 -6.808972e-02
2.788424e+00 -2.466351e-09  4.032170e-06  4.041601e-02 -1.806977e-01 -9.463029e-06 -6.732026e-02
2.793940e+00 -2.478158e-09  3.906758e-06  3.997519e-02 -1.806047e-01 -9.193156e-06 -6.672876e-02
2.798121e+00 -2.142727e-09  3.813058e-06  3.964429e-02 -1.805324e-01 -8.993260e-06 -6.628393e-02
2.801202e+00 -1.652458e-09  3.744490e-06  3.940217e-02 -1.804781e-01 -8.848345e-06 -6.595800e-02
2.803400e+00 -1.153637e-09  3.695720e-06  3.923034e-02 -1.804388e-01 -8.746151e-06 -6.572648e-02
