376 3
 0 0 1
 2 2 1
 -6.502185e+00 -3.053774e-01 -1.000419e-01
7.695550e+00  3.114311e-10 -1.854217e-03 -8.210388e-03
7.906566e+00  2.293568e-09 -1.536051e-03 -7.267554e-03
8.107450e+00  2.193338e-09 -1.284527e-03 -6.474141e-03
8.297252e+00  3.437696e-10 -1.085204e-03 -5.806861e-03
8.475199e+00 -1.605192e-09 -9.267856e-04 -5.245891e-03
8.640700e+00 -2.189581e-09 -8.004742e-04 -4.774463e-03
8.793354e+00 -1.173308e-09 -6.994306e-04 -4.378471e-03
8.932947e+00  5.361544e-10 -6.183442e-04 -4.046082e-03
9.059447e+00  1.746286e-09 -5.530892e-04 -3.767394e-03
9.172998e+00  1.807463e-09 -5.004556e-04 -3.534127e-03
9.273910e+00  8.725948e-10 -4.579388e-04 -3.339347e-03
9.362642e+00 -3.998462e-10 -4.235768e-04 -3.177241e-03
9.439784e+00 -1.339290e-09 -3.958250e-04 -3.042912e-03
9.506039e+00 -1.603166e-09 -3.734593e-04 -2.932221e-03
9.562202e+00 -1.234400e-09 -3.555024e-04 -2.841647e-03
9.609136e+00 -5.140604e-10 -3.411664e-04 -2.768170e-03
9.647752e+00  2.373537e-10 -3.298100e-04 -2.709186e-03
9.678982e+00  7.966519e-10 -3.209053e-04 -2.662432e-03
9.703762e+00  1.079496e-09 -3.140130e-04 -2.625929e-03
9.723005e+00  1.112088e-09 -3.087638e-04 -2.597936e-03
9.737589e+00  9.764552e-10 -3.048444e-04 -2.576925e-03
9.748339e+00  7.622757e-10 -3.019880e-04 -2.561552e-03
9.756007e+00  5.390390e-10 -2.999667e-04 -2.550643e-03
9.761270e+00  3.476177e-10 -2.985873e-04 -2.543183e-03
9.764719e+00  2.039658e-10 -2.976869e-04 -2.538307e-03
9.766852e+00  1.075024e-10 -2.971313e-04 -2.535296e-03
9.768079e+00  4.932373e-11 -2.968124e-04 -2.533566e-03
9.768719e+00  1.814484e-11 -2.966460e-04 -2.532663e-03
9.769012e+00  3.713443e-12 -2.965700e-04 -2.532251e-03
9.769122e+00 -1.730428e-12 -2.965415e-04 -2.532096e-03
9.769151e+00 -3.214145e-12 -2.965337e-04 -2.532054e-03
9.769156e+00 -3.433242e-12 -2.965326e-04 -2.532048e-03
