376 5
 0 0 0 1 1
 2 2 2 6 4
 -8.770908e+01 -7.638741e+00 -5.856274e-01 -5.689399e+00 -2.188755e-01
1.603581e-01 -1.019004e+01 -1.959416e+00  7.087917e-01 -6.363571e+00  1.653110e+00
1.605577e-01 -1.015912e+01 -1.970936e+00  7.123638e-01 -6.362796e+00  1.652727e+00
1.608803e-01 -1.010932e+01 -1.989479e+00  7.181121e-01 -6.361527e+00  1.652104e+00
1.613728e-01 -1.003380e+01 -2.017594e+00  7.268228e-01 -6.359547e+00  1.651141e+00
1.620903e-01 -9.924796e+00 -2.058148e+00  7.393784e-01 -6.356572e+00  1.649712e+00
1.630960e-01 -9.774020e+00 -2.114193e+00  7.567112e-01 -6.352226e+00  1.647656e+00
1.644606e-01 -9.573153e+00 -2.188762e+00  7.797370e-01 -6.346001e+00  1.644771e+00
1.662611e-01 -9.314522e+00 -2.284594e+00  8.092653e-01 -6.337227e+00  1.640800e+00
1.685795e-01 -8.991902e+00 -2.403811e+00  8.458914e-01 -6.325015e+00  1.635419e+00
1.715015e-01 -8.601383e+00 -2.547551e+00  8.898756e-01 -6.308212e+00  1.628224e+00
1.751145e-01 -8.142206e+00 -2.715604e+00  9.410223e-01 -6.285364e+00  1.618718e+00
1.795059e-01 -7.617435e+00 -2.906093e+00  9.985729e-01 -6.254689e+00  1.606309e+00
1.847607e-01 -7.034328e+00 -3.115260e+00  1.061134e+00 -6.214098e+00  1.590312e+00
1.909597e-01 -6.404296e+00 -3.337407e+00  1.126655e+00 -6.161242e+00  1.569967e+00
1.981774e-01 -5.742360e+00 -3.565046e+00  1.192477e+00 -6.093629e+00  1.544473e+00
2.064794e-01 -5.066134e+00 -3.789259e+00  1.255454e+00 -6.008780e+00  1.513033e+00
2.159211e-01 -4.394421e+00 -4.000280e+00  1.312143e+00 -5.904436e+00  1.474917e+00
2.265454e-01 -3.745612e+00 -4.188218e+00  1.359059e+00 -5.778783e+00  1.429531e+00
2.383811e-01 -3.136124e+00 -4.343869e+00  1.392948e+00 -5.630675e+00  1.376487e+00
2.514418e-01 -2.579110e+00 -4.459487e+00  1.411064e+00 -5.459819e+00  1.315660e+00
2.657247e-01 -2.083618e+00 -4.529433e+00  1.411403e+00 -5.266899e+00  1.247233e+00
2.812096e-01 -1.654306e+00 -4.550596e+00  1.392866e+00 -5.053607e+00  1.171710e+00
2.978589e-01 -1.291677e+00 -4.522558e+00  1.355336e+00 -4.822576e+00  1.089906e+00
3.156174e-01 -9.927353e-01 -4.447478e+00  1.299651e+00 -4.577233e+00  1.002904e+00
3.344127e-01 -7.519050e-01 -4.329740e+00  1.227501e+00 -4.321574e+00  9.119959e-01
3.541562e-01 -5.620174e-01 -4.175428e+00  1.141249e+00 -4.059900e+00  8.185996e-01
3.747436e-01 -4.152325e-01 -3.991713e+00  1.043718e+00 -3.796551e+00  7.241795e-01
3.960570e-01 -3.037838e-01 -3.786238e+00  9.379608e-01 -3.535655e+00  6.301648e-01
4.179666e-01 -2.205027e-01 -3.566556e+00  8.270516e-01 -3.280933e+00  5.378815e-01
4.403322e-01 -1.591245e-01 -3.339697e+00  7.139049e-01 -3.035556e+00  4.484990e-01
4.630064e-01 -1.144120e-01 -3.111847e+00  6.011400e-01 -2.802065e+00  3.629954e-01
4.858360e-01 -8.214430e-02 -2.888172e+00  4.909920e-01 -2.582353e+00  2.821401e-01
5.086657e-01 -5.902276e-02 -2.672752e+00  3.852673e-01 -2.377687e+00  2.064912e-01
5.313398e-01 -4.253566e-02 -2.468614e+00  2.853362e-01 -2.188765e+00  1.364062e-01
5.537055e-01 -3.081137e-02 -2.277817e+00  1.921547e-01 -2.015798e+00  7.206089e-02
5.756150e-01 -2.247973e-02 -2.101587e+00  1.063070e-01 -1.858597e+00  1.347454e-02
5.969285e-01 -1.655172e-02 -1.940465e+00  2.805866e-02 -1.716664e+00 -3.946250e-02
6.175159e-01 -1.232112e-02 -1.794452e+00 -4.258459e-02 -1.589272e+00 -8.696082e-02
6.372593e-01 -9.287723e-03 -1.663148e+00 -1.058186e-01 -1.475543e+00 -1.293053e-01
