376 6
 0 0 0 0 1 1
 2 2 2 1 6 6
 -1.283309e+02 -1.277542e+01 -1.233137e+00 -6.446058e-02 -1.021911e+01 -6.466367e-01
1.601178e-01  8.330108e+00  4.570196e+00 -1.707856e+00  3.835960e-01 -8.466870e+00  2.528293e+00
1.601325e-01  8.327888e+00  4.570991e+00 -1.708108e+00  3.836515e-01 -8.466635e+00  2.528183e+00
1.601392e-01  8.326874e+00  4.571355e+00 -1.708223e+00  3.836769e-01 -8.466527e+00  2.528133e+00
1.601418e-01  8.326494e+00  4.571491e+00 -1.708266e+00  3.836864e-01 -8.466487e+00  2.528114e+00
1.601424e-01  8.326390e+00  4.571528e+00 -1.708278e+00  3.836890e-01 -8.466476e+00  2.528109e+00
1.601425e-01  8.326375e+00  4.571534e+00 -1.708279e+00  3.836894e-01 -8.466475e+00  2.528108e+00
1.601426e-01  8.326373e+00  4.571534e+00 -1.708280e+00  3.836894e-01 -8.466474e+00  2.528108e+00
1.601430e-01  8.326310e+00  4.571557e+00 -1.708287e+00  3.836910e-01 -8.466468e+00  2.528105e+00
1.601458e-01  8.325890e+00  4.571708e+00 -1.708334e+00  3.837015e-01 -8.466423e+00  2.528084e+00
1.601560e-01  8.324343e+00  4.572262e+00 -1.708510e+00  3.837402e-01 -8.466259e+00  2.528008e+00
1.601834e-01  8.320221e+00  4.573739e+00 -1.708977e+00  3.838434e-01 -8.465822e+00  2.527803e+00
1.602433e-01  8.311207e+00  4.576967e+00 -1.709998e+00  3.840688e-01 -8.464864e+00  2.527355e+00
1.603581e-01  8.293970e+00  4.583139e+00 -1.711950e+00  3.844996e-01 -8.463027e+00  2.526496e+00
1.605577e-01  8.264078e+00  4.593834e+00 -1.715329e+00  3.852455e-01 -8.459825e+00  2.524999e+00
1.608803e-01  8.215984e+00  4.611019e+00 -1.720753e+00  3.864425e-01 -8.454627e+00  2.522572e+00
1.613728e-01  8.143125e+00  4.637000e+00 -1.728939e+00  3.882486e-01 -8.446645e+00  2.518850e+00
1.620903e-01  8.038148e+00  4.674319e+00 -1.740665e+00  3.908351e-01 -8.434912e+00  2.513390e+00
1.630960e-01  7.893298e+00  4.725583e+00 -1.756709e+00  3.943724e-01 -8.418258e+00  2.505662e+00
1.644606e-01  7.700975e+00  4.793210e+00 -1.777756e+00  3.990094e-01 -8.395287e+00  2.495043e+00
1.662611e-01  7.454456e+00  4.879114e+00 -1.804277e+00  4.048470e-01 -8.364337e+00  2.480802e+00
1.685795e-01  7.148740e+00  4.984310e+00 -1.836393e+00  4.119064e-01 -8.323454e+00  2.462094e+00
1.715015e-01  6.781426e+00  5.108511e+00 -1.873717e+00  4.200948e-01 -8.270362e+00  2.437952e+00
1.751145e-01  6.353520e+00  5.249728e+00 -1.915215e+00  4.291735e-01 -8.202463e+00  2.407291e+00
1.795059e-01  5.870005e+00  5.403977e+00 -1.959094e+00  4.387328e-01 -8.116871e+00  2.368915e+00
1.847607e-01  5.340032e+00  5.565136e+00 -2.002747e+00  4.481806e-01 -8.010494e+00  2.321561e+00
1.909597e-01  4.776617e+00  5.725043e+00 -2.042798e+00  4.567513e-01 -7.880183e+00  2.263945e+00
1.981774e-01  4.195795e+00  5.873868e+00 -2.075240e+00  4.635381e-01 -7.722950e+00  2.194849e+00
2.064794e-01  3.615299e+00  6.000763e+00 -2.095687e+00  4.675493e-01 -7.536242e+00  2.113224e+00
2.159211e-01  3.052937e+00  6.094743e+00 -2.099720e+00  4.677868e-01 -7.318244e+00  2.018306e+00
2.265454e-01  2.524901e+00  6.145706e+00 -2.083287e+00  4.633371e-01 -7.068181e+00  1.909737e+00
2.383811e-01  2.044308e+00  6.145434e+00 -2.043114e+00  4.534638e-01 -6.786564e+00  1.787662e+00
2.514418e-01  1.620203e+00  6.088457e+00 -1.977063e+00  4.376896e-01 -6.475341e+00  1.652802e+00
2.657247e-01  1.257154e+00  5.972612e+00 -1.884383e+00  4.158536e-01 -6.137911e+00  1.506471e+00
2.812096e-01  9.554574e-01  5.799244e+00 -1.765822e+00  3.881376e-01 -5.778994e+00  1.350547e+00
2.978589e-01  7.118356e-01  5.573011e+00 -1.623581e+00  3.550559e-01 -5.404360e+00  1.187377e+00
3.156174e-01  5.204361e-01  5.301341e+00 -1.461116e+00  3.174116e-01 -5.020466e+00  1.019652e+00
3.344127e-01  3.739161e-01  4.993653e+00 -1.282837e+00  2.762272e-01 -4.634021e+00  8.502399e-01
3.541562e-01  2.644337e-01  4.660456e+00 -1.093731e+00  2.326591e-01 -4.251573e+00  6.820184e-01
3.747436e-01  1.844240e-01  4.312460e+00 -8.989709e-01  1.879080e-01 -3.879127e+00  5.177124e-01
3.960570e-01  1.271134e-01  3.959806e+00 -7.035595e-01  1.431360e-01 -3.521860e+00  3.597587e-01
4.179666e-01  8.678317e-02  3.611481e+00 -5.120315e-01  9.939712e-02 -3.183932e+00  2.102037e-01
4.403322e-01  5.883235e-02  3.274939e+00 -3.282421e-01  5.758771e-02 -2.868410e+00  7.064185e-02
4.630064e-01  3.970568e-02  2.955935e+00 -1.552434e-01  1.841638e-02 -2.577274e+00 -5.780767e-02
4.858360e-01  2.674802e-02  2.658532e+00  4.755714e-03 -1.760640e-02 -2.311508e+00 -1.744896e-01
5.086657e-01  1.803341e-02  2.385229e+00  1.503617e-01 -5.016257e-02 -2.071227e+00 -2.791743e-01
5.313398e-01  1.219923e-02  2.137183e+00  2.809164e-01 -7.910860e-02 -1.855844e+00 -3.719997e-01
5.537055e-01  8.301476e-03  1.914461e+00  3.963851e-01 -1.044496e-01 -1.664234e+00 -4.534028e-01
5.756150e-01  5.696870e-03  1.716309e+00  4.972295e-01 -1.263096e-01 -1.494899e+00 -5.240478e-01
5.969285e-01  3.952266e-03  1.541389e+00  5.842791e-01 -1.449008e-01 -1.346106e+00 -5.847561e-01
6.175159e-01  2.778253e-03  1.388000e+00  6.586121e-01 -1.604956e-01 -1.216008e+00 -6.364437e-01
6.372593e-01  1.982571e-03  1.254243e+00  7.214514e-01 -1.734010e-01 -1.102742e+00 -6.800679e-01
6.560547e-01  1.438248e-03  1.138158e+00  7.740803e-01 -1.839383e-01 -1.004493e+00 -7.165841e-01
