376 5
 0 0 0 1 1
 2 2 2 6 1
 -5.508056e+01 -3.877979e+00 -2.513400e-01 -2.507294e+00 -7.177563e-02
1.620903e-01 -1.159199e+01  1.849162e-01 -6.469094e-03 -4.195635e+00  8.030133e-01
1.630960e-01 -1.144871e+01  1.344298e-01  6.767289e-03 -4.198149e+00  8.033125e-01
1.644606e-01 -1.125718e+01  6.689544e-02  2.446655e-02 -4.201338e+00  8.036732e-01
1.662611e-01 -1.100946e+01 -2.053034e-02  4.736691e-02 -4.205159e+00  8.040705e-01
1.685795e-01 -1.069864e+01 -1.303433e-01  7.611083e-02 -4.209448e+00  8.044534e-01
1.715015e-01 -1.031960e+01 -2.644189e-01  1.111718e-01 -4.213869e+00  8.047351e-01
1.751145e-01 -9.869769e+00 -4.237268e-01  1.527771e-01 -4.217870e+00  8.047839e-01
1.795059e-01 -9.349824e+00 -6.080625e-01  2.008358e-01 -4.220644e+00  8.044163e-01
1.847607e-01 -8.764147e+00 -8.158319e-01  2.548789e-01 -4.221110e+00  8.033919e-01
1.909597e-01 -8.121018e+00 -1.043926e+00  3.140249e-01 -4.217912e+00  8.014146e-01
1.981774e-01 -7.432415e+00 -1.287718e+00  3.769780e-01 -4.209459e+00  7.981391e-01
2.064794e-01 -6.713398e+00 -1.541210e+00  4.420647e-01 -4.193988e+00  7.931858e-01
2.159211e-01 -5.981130e+00 -1.797324e+00  5.073121e-01 -4.169671e+00  7.861611e-01
2.265454e-01 -5.253614e+00 -2.048326e+00  5.705615e-01 -4.134747e+00  7.766848e-01
2.383811e-01 -4.548318e+00 -2.286342e+00  6.296096e-01 -4.087661e+00  7.644195e-01
2.514418e-01 -3.880870e+00 -2.503913e+00  6.823599e-01 -4.027209e+00  7.491007e-01
2.657247e-01 -3.263992e+00 -2.694518e+00  7.269699e-01 -3.952660e+00  7.305630e-01
2.812096e-01 -2.706811e+00 -2.853010e+00  7.619756e-01 -3.863844e+00  7.087593e-01
2.978589e-01 -2.214590e+00 -2.975920e+00  7.863809e-01 -3.761191e+00  6.837708e-01
3.156174e-01 -1.788886e+00 -3.061592e+00  7.997032e-01 -3.645718e+00  6.558065e-01
3.344127e-01 -1.428037e+00 -3.110157e+00  8.019726e-01 -3.518972e+00  6.251916e-01
3.541562e-01 -1.127866e+00 -3.123358e+00  7.936905e-01 -3.382921e+00  5.923477e-01
3.747436e-01 -8.824790e-01 -3.104262e+00  7.757536e-01 -3.239828e+00  5.577665e-01
3.960570e-01 -6.850346e-01 -3.056908e+00  7.493577e-01 -3.092104e+00  5.219795e-01
4.179666e-01 -5.284073e-01 -2.985928e+00  7.158924e-01 -2.942169e+00  4.855292e-01
4.403322e-01 -4.056985e-01 -2.896194e+00  6.768384e-01 -2.792330e+00  4.489417e-01
4.630064e-01 -3.105830e-01 -2.792516e+00  6.336770e-01 -2.644682e+00  4.127049e-01
4.858360e-01 -2.375042e-01 -2.679398e+00  5.878159e-01 -2.501043e+00  3.772525e-01
5.086657e-01 -1.817479e-01 -2.560875e+00  5.405357e-01 -2.362915e+00  3.429537e-01
5.313398e-01 -1.394277e-01 -2.440419e+00  4.929556e-01 -2.231472e+00  3.101089e-01
5.537055e-01 -1.074157e-01 -2.320898e+00  4.460165e-01 -2.107574e+00  2.789500e-01
5.756150e-01 -8.324330e-02 -2.204589e+00  4.004785e-01 -1.991791e+00  2.496434e-01
5.969285e-01 -6.499420e-02 -2.093219e+00  3.569287e-01 -1.884436e+00  2.222969e-01
6.175159e-01 -5.120005e-02 -1.988025e+00  3.157964e-01 -1.785610e+00  1.969666e-01
6.372593e-01 -4.074742e-02 -1.889824e+00  2.773725e-01 -1.695238e+00  1.736651e-01
6.560547e-01 -3.279868e-02 -1.799092e+00  2.418304e-01 -1.613110e+00  1.523694e-01
6.738132e-01 -2.672725e-02 -1.716026e+00  2.092469e-01 -1.538914e+00  1.330284e-01
6.904625e-01 -2.206619e-02 -1.640612e+00  1.796219e-01 -1.472266e+00  1.155694e-01
7.059474e-01 -1.846818e-02 -1.572673e+00  1.528958e-01 -1.412735e+00  9.990440e-02
7.202302e-01 -1.567500e-02 -1.511920e+00  1.289649e-01 -1.359861e+00  8.593423e-02
7.332910e-01 -1.349444e-02 -1.457983e+00  1.076938e-01 -1.313174e+00  7.355311e-02
7.451267e-01 -1.178313e-02 -1.410443e+00  8.892598e-02 -1.272200e+00  6.265147e-02
7.557510e-01 -1.043374e-02 -1.368850e+00  7.249151e-02 -1.236475e+00  5.311846e-02
7.651927e-01 -9.365564e-03 -1.332741e+00  5.821358e-02 -1.205543e+00  4.484369e-02
7.734947e-01 -8.517589e-03 -1.301652e+00  4.591302e-02 -1.178967e+00  3.771855e-02
7.807123e-01 -7.843381e-03 -1.275122e+00  3.541167e-02 -1.156327e+00  3.163711e-02
7.869114e-01 -7.307333e-03 -1.252705e+00  2.653479e-02 -1.137221e+00  2.649677e-02
7.921662e-01 -6.881895e-03 -1.233967e+00  1.911277e-02 -1.121267e+00  2.219869e-02
7.965576e-01 -6.545534e-03 -1.218494e+00  1.298237e-02 -1.108103e+00  1.864818e-02
8.001706e-01 -6.281226e-03 -1.205889e+00  7.987566e-03 -1.097386e+00  1.575495e-02
8.030926e-01 -6.075343e-03 -1.195777e+00  3.980364e-03 -1.088792e+00  1.343344e-02
8.054110e-01 -5.916829e-03 -1.187807e+00  8.214229e-04 -1.082021e+00  1.160310e-02
8.072115e-01 -5.796605e-03 -1.181649e+00 -1.619294e-03 -1.076792e+00  1.018873e-02
8.085761e-01 -5.707125e-03 -1.177001e+00 -3.461883e-03 -1.072844e+00  9.120857e-03
8.095818e-01 -5.642068e-03 -1.173585e+00 -4.815891e-03 -1.069944e+00  8.336078e-03
8.102992e-01 -5.596113e-03 -1.171153e+00 -5.779757e-03 -1.067880e+00  7.777389e-03
8.107917e-01 -5.564788e-03 -1.169487e+00 -6.440360e-03 -1.066465e+00  7.394465e-03
8.111144e-01 -5.544360e-03 -1.168396e+00 -6.872737e-03 -1.065540e+00  7.143826e-03
8.113140e-01 -5.531761e-03 -1.167722e+00 -7.140020e-03 -1.064967e+00  6.988885e-03
8.114287e-01 -5.524530e-03 -1.167335e+00 -7.293638e-03 -1.064638e+00  6.899833e-03
8.114887e-01 -5.520759e-03 -1.167132e+00 -7.373828e-03 -1.064467e+00  6.853347e-03
8.115160e-01 -5.519036e-03 -1.167040e+00 -7.410465e-03 -1.064388e+00  6.832109e-03
8.115263e-01 -5.518390e-03 -1.167005e+00 -7.424208e-03 -1.064359e+00  6.824142e-03
8.115291e-01 -5.518215e-03 -1.166996e+00 -7.427946e-03 -1.064351e+00  6.821975e-03
8.115295e-01 -5.518189e-03 -1.166994e+00 -7.428498e-03 -1.064350e+00  6.821655e-03
8.115296e-01 -5.518185e-03 -1.166994e+00 -7.428571e-03 -1.064350e+00  6.821613e-03
8.115308e-01 -5.518106e-03 -1.166990e+00 -7.430261e-03 -1.064346e+00  6.820633e-03
8.115394e-01 -5.517568e-03 -1.166961e+00 -7.441714e-03 -1.064321e+00  6.813994e-03
