376 5
 0 0 0 1 1
 2 2 2 6 3
 -7.598288e+01 -6.269749e+00 -4.700705e-01 -4.516571e+00 -1.666750e-01
7.651927e-01 -2.789450e-03 -1.123252e+00 -2.374923e-01 -1.019432e+00 -1.857645e-01
7.734947e-01 -2.498615e-03 -1.089623e+00 -2.526273e-01 -9.907424e-01 -1.957122e-01
7.807123e-01 -2.270619e-03 -1.061139e+00 -2.654014e-01 -9.664431e-01 -2.041234e-01
7.869114e-01 -2.091569e-03 -1.037223e+00 -2.760918e-01 -9.460396e-01 -2.111746e-01
7.921662e-01 -1.950974e-03 -1.017341e+00 -2.849531e-01 -9.290752e-01 -2.170286e-01
7.965576e-01 -1.840815e-03 -1.000997e+00 -2.922188e-01 -9.151275e-01 -2.218352e-01
8.001706e-01 -1.754896e-03 -9.877319e-01 -2.981022e-01 -9.038062e-01 -2.257321e-01
8.030926e-01 -1.688366e-03 -9.771238e-01 -3.027986e-01 -8.947509e-01 -2.288459e-01
8.054110e-01 -1.637380e-03 -9.687824e-01 -3.064857e-01 -8.876296e-01 -2.312927e-01
8.072115e-01 -1.598844e-03 -9.623503e-01 -3.093253e-01 -8.821378e-01 -2.331784e-01
8.085761e-01 -1.570236e-03 -9.575019e-01 -3.114638e-01 -8.779977e-01 -2.345992e-01
8.095818e-01 -1.549474e-03 -9.539431e-01 -3.130322e-01 -8.749587e-01 -2.356417e-01
8.102992e-01 -1.534827e-03 -9.514118e-01 -3.141473e-01 -8.727970e-01 -2.363830e-01
8.107917e-01 -1.524852e-03 -9.496779e-01 -3.149107e-01 -8.713162e-01 -2.368907e-01
8.111144e-01 -1.518350e-03 -9.485435e-01 -3.154101e-01 -8.703474e-01 -2.372229e-01
8.113140e-01 -1.514342e-03 -9.478425e-01 -3.157187e-01 -8.697486e-01 -2.374281e-01
8.114287e-01 -1.512042e-03 -9.474396e-01 -3.158960e-01 -8.694045e-01 -2.375461e-01
8.114887e-01 -1.510842e-03 -9.472293e-01 -3.159885e-01 -8.692249e-01 -2.376076e-01
8.115160e-01 -1.510294e-03 -9.471332e-01 -3.160308e-01 -8.691429e-01 -2.376358e-01
8.115263e-01 -1.510089e-03 -9.470972e-01 -3.160467e-01 -8.691121e-01 -2.376463e-01
8.115291e-01 -1.510033e-03 -9.470874e-01 -3.160510e-01 -8.691037e-01 -2.376492e-01
8.115295e-01 -1.510025e-03 -9.470859e-01 -3.160516e-01 -8.691025e-01 -2.376496e-01
8.115296e-01 -1.510024e-03 -9.470857e-01 -3.160517e-01 -8.691023e-01 -2.376497e-01
8.115308e-01 -1.509998e-03 -9.470813e-01 -3.160537e-01 -8.690985e-01 -2.376510e-01
8.115394e-01 -1.509828e-03 -9.470513e-01 -3.160669e-01 -8.690729e-01 -2.376598e-01
8.115709e-01 -1.509200e-03 -9.469409e-01 -3.161154e-01 -8.689786e-01 -2.376921e-01
8.116547e-01 -1.507527e-03 -9.466467e-01 -3.162449e-01 -8.687273e-01 -2.377782e-01
8.118383e-01 -1.503873e-03 -9.460031e-01 -3.165281e-01 -8.681776e-01 -2.379666e-01
8.121899e-01 -1.496899e-03 -9.447715e-01 -3.170699e-01 -8.671257e-01 -2.383271e-01
8.128014e-01 -1.484847e-03 -9.426331e-01 -3.180103e-01 -8.652993e-01 -2.389529e-01
8.137899e-01 -1.465569e-03 -9.391857e-01 -3.195257e-01 -8.623546e-01 -2.399616e-01
8.152987e-01 -1.436628e-03 -9.339466e-01 -3.218267e-01 -8.578791e-01 -2.414940e-01
8.174968e-01 -1.395486e-03 -9.263628e-01 -3.251535e-01 -8.513999e-01 -2.437110e-01
8.205780e-01 -1.339795e-03 -9.158291e-01 -3.297663e-01 -8.423987e-01 -2.467879e-01
8.247587e-01 -1.267775e-03 -9.017159e-01 -3.359313e-01 -8.303353e-01 -2.509060e-01
8.302747e-01 -1.178656e-03 -8.834065e-01 -3.439021e-01 -8.146790e-01 -2.562405e-01
8.373776e-01 -1.073088e-03 -8.603441e-01 -3.538955e-01 -7.949471e-01 -2.629460e-01
8.463297e-01 -9.534374e-04 -8.320846e-01 -3.660648e-01 -7.707490e-01 -2.711400e-01
8.573988e-01 -8.238318e-04 -7.983535e-01 -3.804697e-01 -7.418330e-01 -2.808847e-01
8.708525e-01 -6.898718e-04 -7.590998e-01 -3.970479e-01 -7.081302e-01 -2.921692e-01
8.869516e-01 -5.579913e-04 -7.145397e-01 -4.155912e-01 -6.697903e-01 -3.048950e-01
9.059434e-01 -4.345613e-04 -6.651835e-01 -4.357290e-01 -6.272033e-01 -3.188656e-01
9.280559e-01 -3.249354e-04 -6.118364e-01 -4.569259e-01 -5.810014e-01 -3.337837e-01
9.534907e-01 -2.326855e-04 -5.555707e-01 -4.784944e-01 -5.320373e-01 -3.492574e-01
9.824170e-01 -1.592321e-04 -4.976653e-01 -4.996256e-01 -4.813394e-01 -3.648159e-01
1.014966e+00 -1.039478e-04 -4.395194e-01 -5.194361e-01 -4.300452e-01 -3.799344e-01
1.051227e+00 -6.465093e-05 -3.825481e-01 -5.370290e-01 -3.793224e-01 -3.940659e-01
1.091241e+00 -3.829241e-05 -3.280732e-01 -5.515603e-01 -3.302842e-01 -4.066781e-01
1.134999e+00 -2.161975e-05 -2.772257e-01 -5.623052e-01 -2.839132e-01 -4.172892e-01
1.182440e+00 -1.167086e-05 -2.308725e-01 -5.687146e-01 -2.410000e-01 -4.255012e-01
1.233448e+00 -6.050444e-06 -1.895758e-01 -5.704554e-01 -2.021065e-01 -4.310246e-01
1.287854e+00 -3.016366e-06 -1.535885e-01 -5.674303e-01 -1.675538e-01 -4.336950e-01
1.345437e+00 -1.430536e-06 -1.228819e-01 -5.597747e-01 -1.374345e-01 -4.334776e-01
1.405925e+00 -6.272353e-07 -9.719572e-02 -5.478340e-01 -1.116441e-01 -4.304619e-01
1.468998e+00 -2.493221e-07 -7.610217e-02 -5.321242e-01 -8.992321e-02 -4.248474e-01
1.534295e+00 -1.022824e-07 -5.907055e-02 -5.132821e-01 -7.190560e-02 -4.169213e-01
1.601419e+00 -6.335479e-08 -4.552665e-02 -4.920118e-01 -5.716341e-02 -4.070331e-01
1.669940e+00 -5.110660e-08 -3.490023e-02 -4.690332e-01 -4.524689e-02 -3.955676e-01
1.739407e+00 -2.748797e-08 -2.665897e-02 -4.450382e-01 -3.571539e-02 -3.829198e-01
1.809349e+00  4.474143e-09 -2.032915e-02 -4.206568e-01 -2.815899e-02 -3.694728e-01
1.879292e+00  2.295345e-08 -1.550510e-02 -3.964349e-01 -2.221158e-02 -3.555816e-01
1.948758e+00  1.610114e-08 -1.185012e-02 -3.728225e-01 -1.755666e-02 -3.415616e-01
2.017280e+00 -5.574461e-09 -9.091982e-03 -3.501719e-01 -1.392795e-02 -3.276823e-01
2.084403e+00 -2.039408e-08 -7.015264e-03 -3.287421e-01 -1.110625e-02 -3.141647e-01
2.149701e+00 -1.584300e-08 -5.452496e-03 -3.087083e-01 -8.914478e-03 -3.011829e-01
2.212774e+00  1.958953e-09 -4.275370e-03 -2.901736e-01 -7.211687e-03 -2.888673e-01
2.273262e+00  1.637081e-08 -3.386695e-03 -2.731825e-01 -5.887053e-03 -2.773094e-01
2.330845e+00  1.588229e-08 -2.713483e-03 -2.577331e-01 -4.854262e-03 -2.665676e-01
2.385251e+00  2.695115e-09 -2.201255e-03 -2.437888e-01 -4.046571e-03 -2.566723e-01
2.436259e+00 -1.138956e-08 -1.809514e-03 -2.312881e-01 -3.412635e-03 -2.476317e-01
2.483700e+00 -1.576104e-08 -1.508229e-03 -2.201529e-01 -2.913093e-03 -2.394364e-01
2.527458e+00 -8.588443e-09 -1.275156e-03 -2.102949e-01 -2.517833e-03 -2.320635e-01
2.567472e+00  3.681612e-09 -1.093802e-03 -2.016207e-01 -2.203828e-03 -2.254799e-01
2.603732e+00  1.246333e-08 -9.519166e-04 -1.940352e-01 -1.953455e-03 -2.196456e-01
2.636282e+00  1.301913e-08 -8.403632e-04 -1.874445e-01 -1.753195e-03 -2.145155e-01
2.665208e+00  6.382370e-09 -7.522940e-04 -1.817575e-01 -1.592639e-03 -2.100414e-01
2.690643e+00 -2.742963e-09 -6.825473e-04 -1.768867e-01 -1.463741e-03 -2.061733e-01
2.712755e+00 -9.528223e-09 -6.272082e-04 -1.727492e-01 -1.360245e-03 -2.028605e-01
2.731747e+00 -1.148333e-08 -5.832862e-04 -1.692666e-01 -1.277254e-03 -2.000523e-01
2.747846e+00 -8.889743e-09 -5.484779e-04 -1.663652e-01 -1.210907e-03 -1.976985e-01
2.761300e+00 -3.751866e-09 -5.209912e-04 -1.639757e-01 -1.158128e-03 -1.957502e-01
2.772369e+00  1.630481e-09 -4.994148e-04 -1.620336e-01 -1.116445e-03 -1.941600e-01
2.781321e+00  5.649231e-09 -4.826227e-04 -1.604786e-01 -1.083841e-03 -1.928823e-01
2.788424e+00  7.691612e-09 -4.697043e-04 -1.592546e-01 -1.058656e-03 -1.918739e-01
2.793940e+00  7.939938e-09 -4.599130e-04 -1.583100e-01 -1.039505e-03 -1.910940e-01
2.798121e+00  6.979604e-09 -4.526296e-04 -1.575976e-01 -1.025224e-03 -1.905048e-01
2.801202e+00  5.452918e-09 -4.473367e-04 -1.570745e-01 -1.014825e-03 -1.900716e-01
2.803400e+00  3.858455e-09 -4.435991e-04 -1.567022e-01 -1.007472e-03 -1.897631e-01
2.804909e+00  2.489944e-09 -4.410521e-04 -1.564472e-01 -1.002456e-03 -1.895516e-01
2.805897e+00  1.462424e-09 -4.393914e-04 -1.562804e-01 -9.991834e-04 -1.894132e-01
2.806509e+00  7.722401e-10 -4.383673e-04 -1.561772e-01 -9.971644e-04 -1.893276e-01
2.806861e+00  3.559115e-10 -4.377796e-04 -1.561179e-01 -9.960054e-04 -1.892783e-01
2.807044e+00  1.327753e-10 -4.374731e-04 -1.560870e-01 -9.954008e-04 -1.892527e-01
