376 4
 0 0 0 1
 2 2 1 6
 -3.764758e+01 -2.007738e+00 -7.701624e-02 -1.006029e+00
0.000000e+00 -6.995724e+01  1.717953e+01 -3.021761e+00  1.079528e-10
2.064794e-01 -7.745107e+00 -2.392657e-01  5.788508e-02 -2.929528e+00
2.159211e-01 -7.024104e+00 -4.816463e-01  1.004772e-01 -2.935084e+00
2.265454e-01 -6.294219e+00 -7.273567e-01  1.435213e-01 -2.935696e+00
2.383811e-01 -5.571645e+00 -9.703220e-01  1.859044e-01 -2.930074e+00
2.514418e-01 -4.871816e+00 -1.204440e+00  2.265056e-01 -2.917057e+00
2.657247e-01 -4.208371e+00 -1.423965e+00  2.642655e-01 -2.895703e+00
2.812096e-01 -3.592360e+00 -1.623865e+00  2.982516e-01 -2.865362e+00
2.978589e-01 -3.031741e+00 -1.800097e+00  3.277108e-01 -2.825733e+00
3.156174e-01 -2.531220e+00 -1.949804e+00  3.521063e-01 -2.776885e+00
3.344127e-01 -2.092397e+00 -2.071394e+00  3.711345e-01 -2.719255e+00
3.541562e-01 -1.714167e+00 -2.164519e+00  3.847238e-01 -2.653615e+00
3.747436e-01 -1.393273e+00 -2.229960e+00  3.930158e-01 -2.581017e+00
3.960570e-01 -1.124934e+00 -2.269451e+00  3.963343e-01 -2.502721e+00
4.179666e-01 -9.034531e-01 -2.285454e+00  3.951451e-01 -2.420116e+00
4.403322e-01 -7.227492e-01 -2.280925e+00  3.900129e-01 -2.334642e+00
4.630064e-01 -5.767870e-01 -2.259080e+00  3.815588e-01 -2.247716e+00
4.858360e-01 -4.598829e-01 -2.223198e+00  3.704215e-01 -2.160669e+00
5.086657e-01 -3.668981e-01 -2.176453e+00  3.572255e-01 -2.074705e+00
5.313398e-01 -2.933367e-01 -2.121793e+00  3.425568e-01 -1.990867e+00
5.537055e-01 -2.353689e-01 -2.061856e+00  3.269451e-01 -1.910023e+00
5.756150e-01 -1.898042e-01 -1.998928e+00  3.108548e-01 -1.832865e+00
5.969285e-01 -1.540319e-01 -1.934930e+00  2.946802e-01 -1.759912e+00
6.175159e-01 -1.259485e-01 -1.871424e+00  2.787460e-01 -1.691527e+00
6.372593e-01 -1.038788e-01 -1.809641e+00  2.633112e-01 -1.627937e+00
6.560547e-01 -8.650228e-02 -1.750514e+00  2.485748e-01 -1.569246e+00
6.738132e-01 -7.278531e-02 -1.694721e+00  2.346828e-01 -1.515462e+00
