376 3
 0 0 1
 2 2 4
 -1.869082e+01 -8.205996e-01 -2.895125e-01
9.824170e-01 -3.431244e-02 -9.571639e-01 -8.342662e-01
1.014966e+00 -2.744888e-02 -9.168325e-01 -8.001174e-01
1.051227e+00 -2.141833e-02 -8.727772e-01 -7.636055e-01
1.091241e+00 -1.629968e-02 -8.254972e-01 -7.251614e-01
1.134999e+00 -1.210047e-02 -7.756499e-01 -6.852871e-01
1.182440e+00 -8.768138e-03 -7.240154e-01 -6.445309e-01
1.233448e+00 -6.207330e-03 -6.714499e-01 -6.034600e-01
1.287854e+00 -4.298913e-03 -6.188318e-01 -5.626312e-01
1.345437e+00 -2.917298e-03 -5.670077e-01 -5.225654e-01
1.405925e+00 -1.943655e-03 -5.167458e-01 -4.837255e-01
1.468998e+00 -1.274214e-03 -4.686999e-01 -4.465014e-01
1.534295e+00 -8.239950e-04 -4.233867e-01 -4.112010e-01
1.601419e+00 -5.270276e-04 -3.811777e-01 -3.780486e-01
1.669940e+00 -3.343661e-04 -3.423025e-01 -3.471881e-01
1.739407e+00 -2.110646e-04 -3.068614e-01 -3.186905e-01
1.809349e+00 -1.329749e-04 -2.748447e-01 -2.925644e-01
1.879292e+00 -8.387130e-05 -2.461548e-01 -2.687669e-01
1.948758e+00 -5.311322e-05 -2.206277e-01 -2.472153e-01
2.017280e+00 -3.386545e-05 -1.980548e-01 -2.277982e-01
2.084403e+00 -2.180556e-05 -1.782004e-01 -2.103847e-01
2.149701e+00 -1.422483e-05 -1.608171e-01 -1.948328e-01
2.212774e+00 -9.430658e-06 -1.456572e-01 -1.809959e-01
2.273262e+00 -6.367171e-06 -1.324810e-01 -1.687277e-01
2.330845e+00 -4.380399e-06 -1.210627e-01 -1.578861e-01
2.385251e+00 -3.070904e-06 -1.111939e-01 -1.483358e-01
2.436259e+00 -2.196964e-06 -1.026854e-01 -1.399498e-01
2.483700e+00 -1.609889e-06 -9.536716e-02 -1.326105e-01
2.527458e+00 -1.213490e-06 -8.908825e-02 -1.262095e-01
2.567472e+00 -9.421495e-07 -8.371552e-02 -1.206483e-01
2.603732e+00 -7.508629e-07 -7.913212e-02 -1.158371e-01
2.636282e+00 -6.105917e-07 -7.523588e-02 -1.116946e-01
2.665208e+00 -5.044906e-07 -7.193758e-02 -1.081472e-01
2.690643e+00 -4.236682e-07 -6.915931e-02 -1.051282e-01
2.712755e+00 -3.631776e-07 -6.683290e-02 -1.025774e-01
2.731747e+00 -3.192704e-07 -6.489855e-02 -1.004398e-01
2.747846e+00 -2.882479e-07 -6.330359e-02 -9.866526e-02
2.761300e+00 -2.664715e-07 -6.200138e-02 -9.720821e-02
2.772369e+00 -2.508099e-07 -6.095047e-02 -9.602677e-02
2.781321e+00 -2.389800e-07 -6.011385e-02 -9.508259e-02
2.788424e+00 -2.295859e-07 -5.945838e-02 -9.434055e-02
2.793940e+00 -2.219206e-07 -5.895438e-02 -9.376859e-02
2.798121e+00 -2.156853e-07 -5.857530e-02 -9.333757e-02
2.801202e+00 -2.107496e-07 -5.829750e-02 -9.302127e-02
2.803400e+00 -2.070065e-07 -5.810014e-02 -9.279632e-02
2.804909e+00 -2.043127e-07 -5.796507e-02 -9.264226e-02
2.805897e+00 -2.024873e-07 -5.787674e-02 -9.254147e-02
2.806509e+00 -2.013327e-07 -5.782218e-02 -9.247918e-02
2.806861e+00 -2.006596e-07 -5.779083e-02 -9.244339e-02
2.807044e+00 -2.003054e-07 -5.777447e-02 -9.242471e-02
2.807128e+00 -2.001430e-07 -5.776699e-02 -9.241617e-02
2.807159e+00 -2.000819e-07 -5.776419e-02 -9.241297e-02
2.807168e+00 -2.000653e-07 -5.776343e-02 -9.241210e-02
2.807169e+00 -2.000629e-07 -5.776331e-02 -9.241197e-02
2.807169e+00 -2.000626e-07 -5.776330e-02 -9.241195e-02
2.807174e+00 -2.000570e-07 -5.776290e-02 -9.241150e-02
2.807204e+00 -2.000190e-07 -5.776024e-02 -9.240847e-02
2.807313e+00 -1.998794e-07 -5.775046e-02 -9.239730e-02
2.807606e+00 -1.995076e-07 -5.772440e-02 -9.236754e-02
2.808246e+00 -1.986963e-07 -5.766741e-02 -9.230243e-02
2.809473e+00 -1.971512e-07 -5.755842e-02 -9.217789e-02
2.811606e+00 -1.944915e-07 -5.736935e-02 -9.196170e-02
2.815055e+00 -1.902646e-07 -5.706503e-02 -9.161336e-02
2.820318e+00 -1.839833e-07 -5.660373e-02 -9.108443e-02
2.827987e+00 -1.751887e-07 -5.593848e-02 -9.031971e-02
2.838736e+00 -1.635411e-07 -5.501935e-02 -8.925934e-02
2.853321e+00 -1.489288e-07 -5.379681e-02 -8.784194e-02
2.872564e+00 -1.315752e-07 -5.222602e-02 -8.600865e-02
